location subarea numcant
1 28 0506
2 51 0510
3 51 0510
4 28 0506
5 51 0510
6 51 0510
7 51 0510
8 51 0510
9 51 0510
10 69 0513
11 28 0506
12 51 0510
13 51 0510
14 51 0510
15 69 0513
16 69 0513
17 28 0506
18 28 0506
19 28 0506
20 69 0513
21 28 0506
22 69 0513
23 69 0513
24 28 0506
25 69 0513
26 69 0513
27 69 0513
28 28 0506
29 28 0506
30 69 0513
31 69 0513
32 69 0513
33 28 0506
34 28 0506
35 28 0506
36 69 0513
37 69 0513
38 69 0513
39 69 0513
40 28 0506
41 28 0506
42 28 0506
43 120 0525
44 182 0598
45 182 0598
46 182 0598
47 6 0502
48 120 0525
49 120 0525
50 182 0598
51 182 0598
52 6 0502
53 6 0502
54 6 0502
55 120 0525
56 120 0525
57 120 0525
58 120 0525
59 120 0525
60 6 0502
61 6 0502
62 6 0502
63 6 0502
64 120 0525
65 6 0502
66 6 0502
67 6 0502
68 6 0502
69 6 0502
70 6 0502
71 1 0501
72 6 0502
73 6 0502
74 6 0502
75 6 0502
76 6 0502
77 1 0501
78 1 0501
79 99 0520
80 99 0520
81 99 0520
82 99 0520
83 99 0520
84 6 0502
85 120 0525
86 1 0501
87 1 0501
88 1 0501
89 1 0501
90 1 0501
91 99 0520
92 99 0520
93 99 0520
94 99 0520
95 99 0520
96 6 0502
97 6 0502
98 1 0501
99 1 0501
100 1 0501
101 1 0501
102 1 0501
103 1 0501
104 1 0501
105 99 0520
106 99 0520
107 99 0520
108 99 0520
109 6 0502
110 6 0502
111 6 0502
112 6 0502
113 6 0502
114 1 0501
115 1 0501
116 1 0501
117 1 0501
118 1 0501
119 99 0520
120 99 0520
121 99 0520
122 99 0520
123 6 0502
124 6 0502
125 6 0502
126 6 0502
127 6 0502
128 57 0511
129 1 0501
130 1 0501
131 1 0501
132 95 0519
133 99 0520
134 99 0520
135 89 0518
136 89 0518
137 89 0518
138 75 0514
139 6 0502
140 6 0502
141 6 0502
142 6 0502
143 1 0501
144 1 0501
145 1 0501
146 1 0501
147 1 0501
148 1 0501
149 95 0519
150 95 0519
151 95 0519
152 99 0520
153 89 0518
154 89 0518
155 89 0518
156 89 0518
157 75 0514
158 6 0502
159 57 0511
160 57 0511
161 57 0511
162 57 0511
163 1 0501
164 1 0501
165 95 0519
166 95 0519
167 95 0519
168 89 0518
169 89 0518
170 89 0518
171 89 0518
172 89 0518
173 75 0514
174 75 0514
175 75 0514
176 75 0514
177 57 0511
178 57 0511
179 57 0511
180 57 0511
181 95 0519
182 95 0519
183 95 0519
184 95 0519
185 95 0519
186 89 0518
187 89 0518
188 89 0518
189 89 0518
190 89 0518
191 89 0518
192 89 0518
193 75 0514
194 75 0514
195 75 0514
196 75 0514
197 75 0514
198 75 0514
199 75 0514
200 57 0511
201 57 0511
202 57 0511
203 57 0511
204 57 0511
205 57 0511
206 57 0511
207 57 0511
208 95 0519
209 95 0519
210 95 0519
211 95 0519
212 89 0518
213 89 0518
214 89 0518
215 89 0518
216 89 0518
217 89 0518
218 75 0514
219 75 0514
220 75 0514
221 75 0514
222 75 0514
223 75 0514
224 57 0511
225 57 0511
226 57 0511
227 57 0511
228 57 0511
229 57 0511
230 95 0519
231 95 0519
232 89 0518
233 89 0518
234 89 0518
235 89 0518
236 89 0518
237 89 0518
238 89 0518
239 42 0508
240 57 0511
241 57 0511
242 57 0511
243 57 0511
244 57 0511
245 12 0503
246 12 0503
247 95 0519
248 89 0518
249 89 0518
250 89 0518
251 89 0518
252 89 0518
253 89 0518
254 89 0518
255 42 0508
256 42 0508
257 42 0508
258 57 0511
259 57 0511
260 12 0503
261 12 0503
262 95 0519
