location subarea numcant
1 28 0506
2 51 0510
3 51 0510
4 51 0510
5 51 0510
6 51 0510
7 51 0510
8 28 0506
9 51 0510
10 51 0510
11 51 0510
12 69 0513
13 69 0513
14 28 0506
15 28 0506
16 28 0506
17 69 0513
18 28 0506
19 69 0513
20 69 0513
21 28 0506
22 69 0513
23 69 0513
24 69 0513
25 28 0506
26 69 0513
27 69 0513
28 69 0513
29 28 0506
30 28 0506
31 28 0506
32 69 0513
33 69 0513
34 69 0513
35 69 0513
36 28 0506
37 28 0506
38 28 0506
39 120 0525
40 182 0598
41 182 0598
42 182 0598
43 6 0502
44 120 0525
45 120 0525
46 182 0598
47 6 0502
48 6 0502
49 6 0502
50 120 0525
51 120 0525
52 120 0525
53 120 0525
54 120 0525
55 6 0502
56 6 0502
57 6 0502
58 6 0502
59 120 0525
60 6 0502
61 6 0502
62 6 0502
63 6 0502
64 6 0502
65 6 0502
66 1 0501
67 6 0502
68 6 0502
69 6 0502
70 6 0502
71 6 0502
72 1 0501
73 99 0520
74 99 0520
75 99 0520
76 99 0520
77 99 0520
78 6 0502
79 120 0525
80 1 0501
81 1 0501
82 1 0501
83 1 0501
84 1 0501
85 99 0520
86 99 0520
87 99 0520
88 99 0520
89 99 0520
90 6 0502
91 6 0502
92 1 0501
93 1 0501
94 1 0501
95 1 0501
96 1 0501
97 1 0501
98 1 0501
99 99 0520
100 99 0520
101 99 0520
102 99 0520
103 6 0502
104 6 0502
105 6 0502
106 6 0502
107 6 0502
108 1 0501
109 1 0501
110 1 0501
111 1 0501
112 1 0501
113 99 0520
114 99 0520
115 99 0520
116 99 0520
117 6 0502
118 6 0502
119 6 0502
120 6 0502
121 6 0502
122 1 0501
123 1 0501
124 1 0501
125 95 0519
126 99 0520
127 99 0520
128 89 0518
129 89 0518
130 89 0518
131 75 0514
132 6 0502
133 6 0502
134 6 0502
135 6 0502
136 1 0501
137 1 0501
138 1 0501
139 1 0501
140 1 0501
141 1 0501
142 95 0519
143 95 0519
144 95 0519
145 99 0520
146 89 0518
147 89 0518
148 89 0518
149 89 0518
150 75 0514
151 6 0502
152 57 0511
153 57 0511
154 1 0501
155 1 0501
156 95 0519
157 95 0519
158 95 0519
159 89 0518
160 89 0518
161 89 0518
162 89 0518
163 89 0518
164 75 0514
165 75 0514
166 75 0514
167 75 0514
168 57 0511
169 57 0511
170 57 0511
171 95 0519
172 95 0519
173 95 0519
174 95 0519
175 95 0519
176 89 0518
177 89 0518
178 89 0518
179 89 0518
180 89 0518
181 89 0518
182 89 0518
183 75 0514
184 75 0514
185 75 0514
186 75 0514
187 75 0514
188 75 0514
189 75 0514
190 57 0511
191 57 0511
192 57 0511
193 57 0511
194 57 0511
195 57 0511
196 57 0511
197 57 0511
198 95 0519
199 95 0519
200 95 0519
201 95 0519
202 89 0518
203 89 0518
204 89 0518
205 89 0518
206 89 0518
207 89 0518
208 75 0514
209 75 0514
210 75 0514
211 75 0514
212 75 0514
213 75 0514
214 57 0511
215 57 0511
216 57 0511
217 57 0511
218 57 0511
219 57 0511
220 95 0519
221 95 0519
222 89 0518
223 89 0518
224 89 0518
225 89 0518
226 89 0518
227 89 0518
228 89 0518
229 42 0508
230 57 0511
231 57 0511
232 57 0511
233 57 0511
234 57 0511
235 12 0503
236 95 0519
237 89 0518
238 89 0518
239 89 0518
240 89 0518
241 89 0518
242 89 0518
243 89 0518
244 42 0508
245 42 0508
246 42 0508
247 57 0511
248 57 0511
249 12 0503
250 12 0503
251 95 0519
252 188 0599
253 188 0599
254 23 0505
255 89 0518
256 89 0518
257 89 0518
258 105 0521
259 42 0508
260 42 0508
261 42 0508
262 57 0511
