location subarea NOM_COMM
1 474 NEVACHE
2 447 "LA GRAVE"
3 447 "LA GRAVE"
4 474 NEVACHE
5 447 "LA GRAVE"
6 447 "LA GRAVE"
7 447 "LA GRAVE"
8 208 VILLAR-D'ARENE
9 208 VILLAR-D'ARENE
10 461 "LE MONETIER-LES-BAINS"
11 474 NEVACHE
12 208 VILLAR-D'ARENE
13 208 VILLAR-D'ARENE
14 208 VILLAR-D'ARENE
15 461 "LE MONETIER-LES-BAINS"
16 461 "LE MONETIER-LES-BAINS"
17 474 NEVACHE
18 474 NEVACHE
19 474 NEVACHE
20 461 "LE MONETIER-LES-BAINS"
21 474 NEVACHE
22 461 "LE MONETIER-LES-BAINS"
23 461 "LE MONETIER-LES-BAINS"
24 86 VAL-DES-PRES
25 461 "LE MONETIER-LES-BAINS"
26 461 "LE MONETIER-LES-BAINS"
27 461 "LE MONETIER-LES-BAINS"
28 86 VAL-DES-PRES
29 86 VAL-DES-PRES
30 81 "LA SALLE-LES-ALPES"
31 81 "LA SALLE-LES-ALPES"
32 201 SAINT-CHAFFREY
33 86 VAL-DES-PRES
34 466 MONTGENEVRE
35 466 MONTGENEVRE
36 81 "LA SALLE-LES-ALPES"
37 201 SAINT-CHAFFREY
38 201 SAINT-CHAFFREY
39 201 SAINT-CHAFFREY
40 86 VAL-DES-PRES
41 466 MONTGENEVRE
42 466 MONTGENEVRE
43 198 PUY-SAINT-PIERRE
44 58 BRIANCON
45 58 BRIANCON
46 58 BRIANCON
47 479 PELVOUX
48 484 PUY-SAINT-ANDRE
49 198 PUY-SAINT-PIERRE
50 58 BRIANCON
51 58 BRIANCON
52 479 PELVOUX
53 479 PELVOUX
54 80 SAINT-MARTIN-DE-QUEYRIERES
55 484 PUY-SAINT-ANDRE
56 210 VILLAR-SAINT-PANCRACE
57 61 CERVIERES
58 61 CERVIERES
59 61 CERVIERES
60 518 VALLOUISE
61 479 PELVOUX
62 80 SAINT-MARTIN-DE-QUEYRIERES
63 80 SAINT-MARTIN-DE-QUEYRIERES
64 61 CERVIERES
65 518 VALLOUISE
66 518 VALLOUISE
67 518 VALLOUISE
68 80 SAINT-MARTIN-DE-QUEYRIERES
69 80 SAINT-MARTIN-DE-QUEYRIERES
70 80 SAINT-MARTIN-DE-QUEYRIERES
71 400 ABRIES
72 486 PUY-SAINT-VINCENT
73 486 PUY-SAINT-VINCENT
74 521 "LES VIGNEAUX"
75 521 "LES VIGNEAUX"
76 80 SAINT-MARTIN-DE-QUEYRIERES
77 400 ABRIES
78 400 ABRIES
79 506 SAINT-MAURICE-EN-VALGODEMARD
80 209 VILLAR-LOUBIERE
81 448 "LA CHAPELLE-EN-VALGAUDEMAR"
82 448 "LA CHAPELLE-EN-VALGAUDEMAR"
83 448 "LA CHAPELLE-EN-VALGAUDEMAR"
84 406 L'ARGENTIERE-LA-BESSEE
85 210 VILLAR-SAINT-PANCRACE
86 407 ARVIEUX
87 407 ARVIEUX
88 402 AIGUILLES
89 400 ABRIES
90 400 ABRIES
91 409 ASPRES-LES-CORPS
92 77 SAINT-FIRMIN
93 77 SAINT-FIRMIN
94 506 SAINT-MAURICE-EN-VALGODEMARD
95 506 SAINT-MAURICE-EN-VALGODEMARD
96 406 L'ARGENTIERE-LA-BESSEE
97 406 L'ARGENTIERE-LA-BESSEE
98 407 ARVIEUX
99 407 ARVIEUX
100 430 CHATEAU-VILLE-VIEILLE
101 402 AIGUILLES
102 402 AIGUILLES
103 68 RISTOLAS
104 68 RISTOLAS
105 446 "LE GLAIZIL"
106 77 SAINT-FIRMIN
107 77 SAINT-FIRMIN
108 500 SAINT-JACQUES-EN-VALGODEMARD
109 195 FREISSINIERES
110 195 FREISSINIERES
111 406 L'ARGENTIERE-LA-BESSEE
112 69 "LA ROCHE-DE-RAME"
113 69 "LA ROCHE-DE-RAME"
114 407 ARVIEUX
115 407 ARVIEUX
116 430 CHATEAU-VILLE-VIEILLE
117 430 CHATEAU-VILLE-VIEILLE
118 68 RISTOLAS
119 446 "LE GLAIZIL"
120 446 "LE GLAIZIL"
121 3 CHAUFFAYER
122 3 CHAUFFAYER
123 195 FREISSINIERES
124 195 FREISSINIERES
125 195 FREISSINIERES
126 195 FREISSINIERES
127 69 "LA ROCHE-DE-RAME"
128 75 SAINT-CREPIN
129 407 ARVIEUX
130 459 MOLINES-EN-QUEYRAS
131 459 MOLINES-EN-QUEYRAS
132 76 SAINT-DISDIER
133 446 "LE GLAIZIL"
134 3 CHAUFFAYER
135 432 "LES COSTES"
136 432 "LES COSTES"
137 471 "LA MOTTE-EN-CHAMPSAUR"
138 424 CHAMPOLEON
139 195 FREISSINIERES
140 423 CHAMPCELLA
141 423 CHAMPCELLA
142 423 CHAMPCELLA
143 407 ARVIEUX
144 407 ARVIEUX
145 407 ARVIEUX
146 459 MOLINES-EN-QUEYRAS
147 459 MOLINES-EN-QUEYRAS
148 459 MOLINES-EN-QUEYRAS
149 76 SAINT-DISDIER
150 76 SAINT-DISDIER
151 76 SAINT-DISDIER
152 446 "LE GLAIZIL"
153 148 "LE NOYER"
154 499 SAINT-EUSEBE-EN-CHAMPSAUR
155 471 "LA MOTTE-EN-CHAMPSAUR"
156 471 "LA MOTTE-EN-CHAMPSAUR"
157 424 CHAMPOLEON
158 423 CHAMPCELLA
159 75 SAINT-CREPIN
160 75 SAINT-CREPIN
161 449 GUILLESTRE
162 449 GUILLESTRE
163 509 SAINT-VERAN
164 509 SAINT-VERAN
165 76 SAINT-DISDIER
166 401 AGNIERES-EN-DEVOLUY
167 4 SAINT-ETIENNE-EN-DEVOLUY
168 148 "LE NOYER"
169 148 "LE NOYER"
170 499 SAINT-EUSEBE-EN-CHAMPSAUR
171 418 BENEVENT-ET-CHARBILLAC
172 418 BENEVENT-ET-CHARBILLAC
173 424 CHAMPOLEON
174 197 ORCIERES
175 197 ORCIERES
176 197 ORCIERES
177 66 REOTIER
178 66 REOTIER
179 75 SAINT-CREPIN
180 75 SAINT-CREPIN
181 401 AGNIERES-EN-DEVOLUY
182 401 AGNIERES-EN-DEVOLUY
183 4 SAINT-ETIENNE-EN-DEVOLUY
184 4 SAINT-ETIENNE-EN-DEVOLUY
185 4 SAINT-ETIENNE-EN-DEVOLUY
186 148 "LE NOYER"
187 482 POLIGNY
188 482 POLIGNY
189 73 SAINT-BONNET-EN-CHAMPSAUR
190 73 SAINT-BONNET-EN-CHAMPSAUR
