location subarea NOM_COMM
1 474 NEVACHE
2 447 "LA GRAVE"
3 447 "LA GRAVE"
4 447 "LA GRAVE"
5 447 "LA GRAVE"
6 447 "LA GRAVE"
7 208 VILLAR-D'ARENE
8 474 NEVACHE
9 208 VILLAR-D'ARENE
10 208 VILLAR-D'ARENE
11 208 VILLAR-D'ARENE
12 461 "LE MONETIER-LES-BAINS"
13 461 "LE MONETIER-LES-BAINS"
14 474 NEVACHE
15 474 NEVACHE
16 474 NEVACHE
17 461 "LE MONETIER-LES-BAINS"
18 474 NEVACHE
19 461 "LE MONETIER-LES-BAINS"
20 461 "LE MONETIER-LES-BAINS"
21 86 VAL-DES-PRES
22 461 "LE MONETIER-LES-BAINS"
23 461 "LE MONETIER-LES-BAINS"
24 461 "LE MONETIER-LES-BAINS"
25 86 VAL-DES-PRES
26 81 "LA SALLE-LES-ALPES"
27 81 "LA SALLE-LES-ALPES"
28 201 SAINT-CHAFFREY
29 86 VAL-DES-PRES
30 466 MONTGENEVRE
31 466 MONTGENEVRE
32 81 "LA SALLE-LES-ALPES"
33 201 SAINT-CHAFFREY
34 201 SAINT-CHAFFREY
35 201 SAINT-CHAFFREY
36 86 VAL-DES-PRES
37 466 MONTGENEVRE
38 466 MONTGENEVRE
39 198 PUY-SAINT-PIERRE
40 58 BRIANCON
41 58 BRIANCON
42 58 BRIANCON
43 479 PELVOUX
44 484 PUY-SAINT-ANDRE
45 198 PUY-SAINT-PIERRE
46 58 BRIANCON
47 479 PELVOUX
48 479 PELVOUX
49 80 SAINT-MARTIN-DE-QUEYRIERES
50 484 PUY-SAINT-ANDRE
51 210 VILLAR-SAINT-PANCRACE
52 61 CERVIERES
53 61 CERVIERES
54 61 CERVIERES
55 518 VALLOUISE
56 479 PELVOUX
57 80 SAINT-MARTIN-DE-QUEYRIERES
58 80 SAINT-MARTIN-DE-QUEYRIERES
59 61 CERVIERES
60 518 VALLOUISE
61 518 VALLOUISE
62 518 VALLOUISE
63 80 SAINT-MARTIN-DE-QUEYRIERES
64 80 SAINT-MARTIN-DE-QUEYRIERES
65 80 SAINT-MARTIN-DE-QUEYRIERES
66 400 ABRIES
67 486 PUY-SAINT-VINCENT
68 486 PUY-SAINT-VINCENT
69 521 "LES VIGNEAUX"
70 521 "LES VIGNEAUX"
71 80 SAINT-MARTIN-DE-QUEYRIERES
72 400 ABRIES
73 506 SAINT-MAURICE-EN-VALGODEMARD
74 209 VILLAR-LOUBIERE
75 448 "LA CHAPELLE-EN-VALGAUDEMAR"
76 448 "LA CHAPELLE-EN-VALGAUDEMAR"
77 448 "LA CHAPELLE-EN-VALGAUDEMAR"
78 406 L'ARGENTIERE-LA-BESSEE
79 210 VILLAR-SAINT-PANCRACE
80 407 ARVIEUX
81 407 ARVIEUX
82 402 AIGUILLES
83 400 ABRIES
84 400 ABRIES
85 409 ASPRES-LES-CORPS
86 77 SAINT-FIRMIN
87 77 SAINT-FIRMIN
88 506 SAINT-MAURICE-EN-VALGODEMARD
89 506 SAINT-MAURICE-EN-VALGODEMARD
90 406 L'ARGENTIERE-LA-BESSEE
91 406 L'ARGENTIERE-LA-BESSEE
92 407 ARVIEUX
93 407 ARVIEUX
94 430 CHATEAU-VILLE-VIEILLE
95 402 AIGUILLES
96 402 AIGUILLES
97 68 RISTOLAS
98 68 RISTOLAS
99 446 "LE GLAIZIL"
100 77 SAINT-FIRMIN
101 77 SAINT-FIRMIN
102 500 SAINT-JACQUES-EN-VALGODEMARD
103 195 FREISSINIERES
104 195 FREISSINIERES
105 406 L'ARGENTIERE-LA-BESSEE
106 69 "LA ROCHE-DE-RAME"
107 69 "LA ROCHE-DE-RAME"
108 407 ARVIEUX
109 407 ARVIEUX
110 430 CHATEAU-VILLE-VIEILLE
111 430 CHATEAU-VILLE-VIEILLE
112 68 RISTOLAS
113 446 "LE GLAIZIL"
114 446 "LE GLAIZIL"
115 3 CHAUFFAYER
116 3 CHAUFFAYER
117 195 FREISSINIERES
118 195 FREISSINIERES
119 195 FREISSINIERES
120 195 FREISSINIERES
121 69 "LA ROCHE-DE-RAME"
122 407 ARVIEUX
123 459 MOLINES-EN-QUEYRAS
124 459 MOLINES-EN-QUEYRAS
125 76 SAINT-DISDIER
126 446 "LE GLAIZIL"
127 3 CHAUFFAYER
128 432 "LES COSTES"
129 432 "LES COSTES"
130 471 "LA MOTTE-EN-CHAMPSAUR"
131 424 CHAMPOLEON
132 195 FREISSINIERES
133 423 CHAMPCELLA
134 423 CHAMPCELLA
135 423 CHAMPCELLA
136 407 ARVIEUX
137 407 ARVIEUX
138 407 ARVIEUX
139 459 MOLINES-EN-QUEYRAS
140 459 MOLINES-EN-QUEYRAS
141 459 MOLINES-EN-QUEYRAS
142 76 SAINT-DISDIER
143 76 SAINT-DISDIER
144 76 SAINT-DISDIER
145 446 "LE GLAIZIL"
146 148 "LE NOYER"
147 499 SAINT-EUSEBE-EN-CHAMPSAUR
148 471 "LA MOTTE-EN-CHAMPSAUR"
149 471 "LA MOTTE-EN-CHAMPSAUR"
150 424 CHAMPOLEON
151 423 CHAMPCELLA
152 75 SAINT-CREPIN
153 75 SAINT-CREPIN
154 509 SAINT-VERAN
155 509 SAINT-VERAN
156 76 SAINT-DISDIER
157 401 AGNIERES-EN-DEVOLUY
158 4 SAINT-ETIENNE-EN-DEVOLUY
159 148 "LE NOYER"
160 148 "LE NOYER"
161 499 SAINT-EUSEBE-EN-CHAMPSAUR
162 418 BENEVENT-ET-CHARBILLAC
163 418 BENEVENT-ET-CHARBILLAC
164 424 CHAMPOLEON
165 197 ORCIERES
166 197 ORCIERES
167 197 ORCIERES
168 66 REOTIER
169 75 SAINT-CREPIN
170 75 SAINT-CREPIN
171 401 AGNIERES-EN-DEVOLUY
172 401 AGNIERES-EN-DEVOLUY
173 4 SAINT-ETIENNE-EN-DEVOLUY
174 4 SAINT-ETIENNE-EN-DEVOLUY
175 4 SAINT-ETIENNE-EN-DEVOLUY
176 148 "LE NOYER"
177 482 POLIGNY
178 482 POLIGNY
179 73 SAINT-BONNET-EN-CHAMPSAUR
180 73 SAINT-BONNET-EN-CHAMPSAUR
181 202 SAINT-MICHEL-DE-CHAILLOL
182 202 SAINT-MICHEL-DE-CHAILLOL
183 79 SAINT-JEAN-SAINT-NICOLAS
184 79 SAINT-JEAN-SAINT-NICOLAS
185 79 SAINT-JEAN-SAINT-NICOLAS
