location subarea FID
1 17 17
2 11 11
3 11 11
4 11 11
5 11 11
6 11 11
7 11 11
8 16 16
9 11 11
10 11 11
11 16 16
12 16 16
13 16 16
14 16 16
15 16 16
16 16 16
17 16 16
18 16 16
19 16 16
20 16 16
21 16 16
22 16 16
23 16 16
24 16 16
25 16 16
26 16 16
27 16 16
28 16 16
29 16 16
30 16 16
31 16 16
32 16 16
33 16 16
34 16 16
35 16 16
36 16 16
37 16 16
38 16 16
39 16 16
40 16 16
41 16 16
42 16 16
43 16 16
44 16 16
45 16 16
46 16 16
47 16 16
48 16 16
49 16 16
50 16 16
51 16 16
52 16 16
53 16 16
54 16 16
55 16 16
56 16 16
57 16 16
58 16 16
59 16 16
60 16 16
61 16 16
62 16 16
63 16 16
64 16 16
65 16 16
66 16 16
67 16 16
68 16 16
69 16 16
70 16 16
71 16 16
72 16 16
73 11 11
74 11 11
75 11 11
76 11 11
77 11 11
78 16 16
79 16 16
80 16 16
81 16 16
82 16 16
83 16 16
84 16 16
85 11 11
86 11 11
87 11 11
88 11 11
89 11 11
90 16 16
91 16 16
92 16 16
93 16 16
94 16 16
95 16 16
96 16 16
97 16 16
98 16 16
99 11 11
100 11 11
101 11 11
102 11 11
103 16 16
104 16 16
105 16 16
106 16 16
107 16 16
108 16 16
109 16 16
110 16 16
111 16 16
112 16 16
113 11 11
114 11 11
115 11 11
116 11 11
117 16 16
118 16 16
119 16 16
120 16 16
121 16 16
122 16 16
123 16 16
124 16 16
125 11 11
126 11 11
127 11 11
128 11 11
129 11 11
130 11 11
131 11 11
132 16 16
133 16 16
134 16 16
135 16 16
136 16 16
137 16 16
138 16 16
139 16 16
140 16 16
141 16 16
142 11 11
143 11 11
144 11 11
145 11 11
146 11 11
147 11 11
148 11 11
149 11 11
150 11 11
151 16 16
152 16 16
153 16 16
154 16 16
155 16 16
156 11 11
157 11 11
158 11 11
159 11 11
160 11 11
161 11 11
162 11 11
163 11 11
164 11 11
165 11 11
166 11 11
167 11 11
168 16 16
169 16 16
170 16 16
171 11 11
172 11 11
173 11 11
174 11 11
175 11 11
176 11 11
177 11 11
178 11 11
179 11 11
180 11 11
181 11 11
182 11 11
183 11 11
184 11 11
185 11 11
186 11 11
187 11 11
188 11 11
189 11 11
190 16 16
191 16 16
192 16 16
193 16 16
194 16 16
195 16 16
196 16 16
197 16 16
198 11 11
199 11 11
200 11 11
201 11 11
202 11 11
203 11 11
204 11 11
205 11 11
206 11 11
207 11 11
208 11 11
209 11 11
210 11 11
211 11 11
212 11 11
213 11 11
214 16 16
215 16 16
216 16 16
217 16 16
218 16 16
219 16 16
220 11 11
221 11 11
222 11 11
223 11 11
224 11 11
225 11 11
226 11 11
227 11 11
228 11 11
229 16 16
230 16 16
231 16 16
232 16 16
233 16 16
234 16 16
235 7 7
236 11 11
237 11 11
238 11 11
239 11 11
240 11 11
241 11 11
242 11 11
243 11 11
244 16 16
245 16 16
246 16 16
247 16 16
248 16 16
249 7 7
250 11 11
251 11 11
252 11 11
253 11 11
254 11 11
255 11 11
256 11 11
257 11 11
258 11 11
259 16 16
260 16 16
261 16 16
262 16 16
263 16 16
264 16 16
265 16 16
266 11 11
267 11 11
268 11 11
269 11 11
270 11 11
271 11 11
272 11 11
273 11 11
274 11 11
275 11 11
276 11 11
277 16 16
278 16 16
279 16 16
280 16 16
281 16 16
282 7 7
283 7 7
284 11 11
285 11 11
286 11 11
287 11 11
288 11 11
289 11 11
290 11 11
291 11 11
292 11 11
293 11 11
294 11 11
295 11 11
296 11 11
297 11 11
298 11 11
299 11 11
300 11 11
301 11 11
302 16 16
303 16 16
304 16 16
305 16 16
306 16 16
307 16 16
308 16 16
309 11 11
310 11 11
311 11 11
312 11 11
313 11 11
314 11 11
315 11 11
316 11 11
317 11 11
318 11 11
319 11 11
320 11 11
321 11 11
322 11 11
323 11 11
324 11 11
325 11 11
326 11 11
327 11 11
328 11 11
329 11 11
330 11 11
331 11 11
332 11 11
333 11 11
334 16 16
335 16 16
336 16 16
337 16 16
338 16 16
339 15 15
340 15 15
341 15 15
342 15 15
343 15 15
344 7 7
345 7 7
346 7 7
347 11 11
348 11 11
349 11 11
350 11 11
351 11 11
352 11 11
353 10 10
354 10 10
355 10 10
356 10 10
357 10 10
358 10 10
359 10 10
360 10 10
361 10 10
362 10 10
363 10 10
364 10 10
365 10 10
366 10 10
367 10 10
368 10 10
369 10 10
370 10 10
371 10 10
372 15 15
373 15 15
374 15 15
375 15 15
376 15 15
377 15 15
378 15 15
379 15 15
380 15 15
381 15 15
382 6 6
383 10 10
384 10 10
385 10 10
386 10 10
387 10 10
388 10 10
389 10 10
390 10 10
391 10 10
392 10 10
393 10 10
394 10 10
395 10 10
396 10 10
397 10 10
398 10 10
399 10 10
400 10 10
401 10 10
402 10 10
403 15 15
404 15 15
405 15 15
406 15 15
407 15 15
408 15 15
409 15 15
410 15 15
411 15 15
412 10 10
413 10 10
414 10 10
415 10 10
416 10 10
417 10 10
418 10 10
419 10 10
420 10 10
421 10 10
422 10 10
423 10 10
424 10 10
425 10 10
426 10 10
427 10 10
428 10 10
429 10 10
430 10 10
431 10 10
432 10 10
433 10 10
434 10 10
435 15 15
436 15 15
437 15 15
438 15 15
439 10 10
440 10 10
441 10 10
442 10 10
443 10 10
444 10 10
445 10 10
446 10 10
447 10 10
448 10 10
449 10 10
450 10 10
451 10 10
452 10 10
453 10 10
454 10 10
455 10 10
456 10 10
457 10 10
458 10 10
459 10 10
460 15 15
461 15 15
462 15 15
463 15 15
464 15 15
465 6 6
466 10 10
467 10 10
468 10 10
469 10 10
470 10 10
471 10 10
472 10 10
473 10 10
474 10 10
475 10 10
476 10 10
477 10 10
478 10 10
479 10 10
480 10 10
481 10 10
482 10 10
483 10 10
484 10 10
485 10 10
486 10 10
487 10 10
488 10 10
489 10 10
490 10 10
491 10 10
492 15 15
493 15 15
494 15 15
495 6 6
496 6 6
497 6 6
498 6 6
499 6 6
500 10 10
501 10 10
502 10 10
503 10 10
504 10 10
505 10 10
506 10 10
507 10 10
508 10 10
509 10 10
510 10 10
511 10 10
512 10 10
513 10 10
514 10 10
515 10 10
516 10 10
517 10 10
518 10 10
519 10 10
520 10 10
521 10 10
522 10 10
523 10 10
524 10 10
525 15 15
526 15 15
527 6 6
528 6 6
529 6 6
530 6 6
531 6 6
532 10 10
533 10 10
534 10 10
535 10 10
536 10 10
537 10 10
538 10 10
539 10 10
540 10 10
541 10 10
542 10 10
543 10 10
544 10 10
545 10 10
546 10 10
547 10 10
548 10 10
549 10 10
550 10 10
551 10 10
552 10 10
553 10 10
554 10 10
555 15 15
556 15 15
557 15 15
558 15 15
559 15 15
560 15 15
561 15 15
562 15 15
563 6 6
564 6 6
565 6 6
566 10 10
567 10 10
568 10 10
569 10 10
570 10 10
571 10 10
572 10 10
573 10 10
574 10 10
575 10 10
576 10 10
577 10 10
578 10 10
579 10 10
580 10 10
581 10 10
582 10 10
583 10 10
584 10 10
585 10 10
586 15 15
587 15 15
588 15 15
589 15 15
590 15 15
591 15 15
592 15 15
593 15 15
594 15 15
595 15 15
596 15 15
597 15 15
598 6 6
599 6 6
600 6 6
601 6 6
602 6 6
603 6 6
604 6 6
605 6 6
606 10 10
607 10 10
608 10 10
609 10 10
610 10 10
611 10 10
612 10 10
613 10 10
614 10 10
615 10 10
616 10 10
617 10 10
618 10 10
619 10 10
620 10 10
621 10 10
622 10 10
623 10 10
624 10 10
625 15 15
626 15 15
627 15 15
628 15 15
629 15 15
630 15 15
631 15 15
632 15 15
633 15 15
634 15 15
635 15 15
636 6 6
637 6 6
638 6 6
639 6 6
640 6 6
641 6 6
642 10 10
643 10 10
644 10 10
645 10 10
646 10 10
647 10 10
648 10 10
649 10 10
650 10 10
651 10 10
652 10 10
653 10 10
654 10 10
655 10 10
656 10 10
657 10 10
658 10 10
659 10 10
660 15 15
661 15 15
662 15 15
663 15 15
664 15 15
665 15 15
666 15 15
667 6 6
668 6 6
669 6 6
670 6 6
671 6 6
672 6 6
673 6 6
674 10 10
675 10 10
676 10 10
677 10 10
678 10 10
679 10 10
680 10 10
681 10 10
682 10 10
683 10 10
684 10 10
685 10 10
686 10 10
687 10 10
688 10 10
689 10 10
690 10 10
691 15 15
692 15 15
693 15 15
694 6 6
695 6 6
696 6 6
697 6 6
698 6 6
699 6 6
700 6 6
701 6 6
702 10 10
703 10 10
704 10 10
705 10 10
706 10 10
707 10 10
708 10 10
709 10 10
710 10 10
711 10 10
712 10 10
713 10 10
714 10 10
715 10 10
716 10 10
717 10 10
718 10 10
719 10 10
720 10 10
721 10 10
722 10 10
723 10 10
724 15 15
725 15 15
726 15 15
727 6 6
728 6 6
729 10 10
730 10 10
731 10 10
732 10 10
733 10 10
734 10 10
735 10 10
736 10 10
737 10 10
738 10 10
739 10 10
740 10 10
741 10 10
742 10 10
743 10 10
744 10 10
745 10 10
746 10 10
747 10 10
748 10 10
749 10 10
750 10 10
751 15 15
752 15 15
753 15 15
754 15 15
755 6 6
756 10 10
757 10 10
758 10 10
759 10 10
760 10 10
761 10 10
762 10 10
763 10 10
764 10 10
765 10 10
766 10 10
767 10 10
768 10 10
769 10 10
770 10 10
771 10 10
772 10 10
773 10 10
774 10 10
775 15 15
776 15 15
777 15 15
778 3 3
779 3 3
780 3 3
781 6 6
782 6 6
783 10 10
784 10 10
785 10 10
786 10 10
787 10 10
788 10 10
789 10 10
790 10 10
791 10 10
792 10 10
793 10 10
794 10 10
795 10 10
796 10 10
797 10 10
798 10 10
799 15 15
800 15 15
801 15 15
802 15 15
803 15 15
804 3 3
805 3 3
806 3 3
807 3 3
808 3 3
809 3 3
810 6 6
811 6 6
812 6 6
813 10 10
814 10 10
815 10 10
816 10 10
817 10 10
818 10 10
819 10 10
820 10 10
821 10 10
822 10 10
823 10 10
824 10 10
825 10 10
826 10 10
827 10 10
828 10 10
829 10 10
830 10 10
831 10 10
832 10 10
833 15 15
834 15 15
835 15 15
836 15 15
837 15 15
838 15 15
839 3 3
840 3 3
841 3 3
842 3 3
843 3 3
844 3 3
845 6 6
846 6 6
847 6 6
848 6 6
849 6 6
850 6 6
851 6 6
852 10 10
853 10 10
854 10 10
855 10 10
856 10 10
857 10 10
858 10 10
859 10 10
860 10 10
861 10 10
862 10 10
863 10 10
864 10 10
865 10 10
866 10 10
867 10 10
868 10 10
869 15 15
870 15 15
871 15 15
872 15 15
873 15 15
874 15 15
875 15 15
876 3 3
877 3 3
878 3 3
879 3 3
880 3 3
881 3 3
882 3 3
883 3 3
884 3 3
885 6 6
886 6 6
887 6 6
888 6 6
889 6 6
890 6 6
891 6 6
892 6 6
893 10 10
894 10 10
895 10 10
896 10 10
897 10 10
898 10 10
899 10 10
900 10 10
901 10 10
902 10 10
903 10 10
904 10 10
905 10 10
906 10 10
907 10 10
908 10 10
909 10 10
910 10 10
911 15 15
912 15 15
913 15 15
914 15 15
915 15 15
916 15 15
917 15 15
918 3 3
919 3 3
920 3 3
921 3 3
922 3 3
923 3 3
924 3 3
925 3 3
926 3 3
927 3 3
928 6 6
929 6 6
930 6 6
931 6 6
932 6 6
933 6 6
934 6 6
935 6 6
936 10 10
937 10 10
938 10 10
939 10 10
940 10 10
941 10 10
942 10 10
943 10 10
944 10 10
945 10 10
946 10 10
947 10 10
948 10 10
949 10 10
950 10 10
951 15 15
952 15 15
953 15 15
954 15 15
955 15 15
956 15 15
957 15 15
958 15 15
959 15 15
960 19 19
961 3 3
962 3 3
963 3 3
964 3 3
965 3 3
966 3 3
967 3 3
968 3 3
969 3 3
970 3 3
971 6 6
972 6 6
973 6 6
974 6 6
975 6 6
976 6 6
977 6 6
978 6 6
979 10 10
980 10 10
981 10 10
982 10 10
983 10 10
984 10 10
985 10 10
986 10 10
987 10 10
988 10 10
989 10 10
990 10 10
991 10 10
992 10 10
993 10 10
994 10 10
995 10 10
996 10 10
997 10 10
998 15 15
999 15 15
1000 15 15
1001 15 15
1002 15 15
1003 15 15
1004 15 15
1005 3 3
1006 3 3
1007 3 3
1008 3 3
1009 3 3
1010 3 3
1011 3 3
1012 3 3
1013 3 3
1014 6 6
1015 6 6
1016 6 6
1017 6 6
1018 6 6
1019 6 6
1020 6 6
1021 6 6
1022 6 6
1023 6 6
1024 6 6
1025 6 6
1026 6 6
1027 6 6
1028 6 6
1029 10 10
1030 10 10
1031 10 10
1032 10 10
1033 10 10
1034 10 10
1035 10 10
1036 10 10
1037 10 10
1038 10 10
1039 10 10
1040 10 10
1041 10 10
1042 10 10
1043 10 10
1044 10 10
1045 15 15
1046 15 15
1047 15 15
1048 15 15
1049 15 15
1050 19 19
1051 3 3
1052 3 3
1053 3 3
1054 3 3
1055 3 3
1056 3 3
1057 3 3
1058 3 3
1059 3 3
1060 3 3
1061 6 6
1062 6 6
1063 6 6
1064 6 6
1065 6 6
1066 6 6
1067 6 6
1068 6 6
1069 6 6
1070 6 6
1071 6 6
1072 6 6
1073 6 6
1074 6 6
1075 10 10
1076 10 10
1077 10 10
1078 10 10
1079 10 10
1080 10 10
1081 10 10
1082 10 10
1083 10 10
1084 10 10
1085 10 10
1086 10 10
1087 10 10
1088 10 10
1089 10 10
1090 10 10
1091 10 10
1092 10 10
1093 10 10
1094 10 10
1095 10 10
1096 10 10
1097 10 10
1098 10 10
1099 10 10
1100 15 15
1101 15 15
1102 15 15
1103 15 15
1104 15 15
1105 15 15
1106 15 15
1107 19 19
1108 19 19
1109 19 19
1110 19 19
1111 19 19
1112 3 3
1113 3 3
1114 3 3
1115 3 3
1116 3 3
1117 3 3
1118 3 3
1119 3 3
1120 3 3
1121 3 3
1122 6 6
1123 6 6
1124 6 6
1125 6 6
1126 6 6
1127 6 6
1128 6 6
1129 6 6
1130 6 6
1131 6 6
1132 6 6
1133 6 6
1134 10 10
1135 10 10
1136 10 10
1137 10 10
1138 10 10
1139 10 10
1140 10 10
1141 10 10
1142 10 10
1143 10 10
1144 10 10
1145 10 10
1146 10 10
1147 10 10
1148 10 10
1149 10 10
1150 10 10
1151 10 10
1152 10 10
1153 10 10
1154 10 10
1155 15 15
1156 15 15
1157 15 15
1158 15 15
1159 15 15
1160 15 15
1161 15 15
1162 15 15
1163 15 15
1164 15 15
1165 15 15
1166 15 15
1167 15 15
1168 15 15
1169 15 15
1170 19 19
1171 19 19
1172 19 19
1173 19 19
1174 19 19
1175 19 19
1176 19 19
1177 3 3
1178 3 3
1179 3 3
1180 3 3
1181 3 3
1182 3 3
1183 3 3
1184 3 3
1185 3 3
1186 3 3
1187 6 6
1188 6 6
1189 6 6
1190 6 6
1191 6 6
1192 6 6
1193 6 6
1194 6 6
1195 6 6
1196 6 6
1197 10 10
1198 10 10
1199 10 10
1200 10 10
1201 10 10
1202 10 10
1203 10 10
1204 10 10
1205 10 10
1206 10 10
1207 10 10
1208 10 10
1209 10 10
1210 10 10
1211 10 10
1212 10 10
1213 10 10
1214 10 10
1215 15 15
1216 15 15
1217 15 15
1218 15 15
1219 15 15
1220 15 15
1221 15 15
1222 15 15
1223 15 15
1224 15 15
1225 15 15
1226 15 15
1227 15 15
1228 15 15
1229 19 19
1230 19 19
1231 19 19
1232 19 19
1233 19 19
1234 19 19
1235 19 19
1236 19 19
1237 3 3
1238 3 3
1239 3 3
1240 3 3
1241 3 3
1242 3 3
1243 3 3
1244 3 3
1245 3 3
1246 3 3
1247 6 6
1248 6 6
1249 6 6
1250 6 6
1251 6 6
1252 6 6
1253 6 6
1254 6 6
1255 6 6
1256 6 6
1257 6 6
1258 6 6
1259 6 6
1260 6 6
1261 6 6
1262 6 6
1263 6 6
1264 10 10
1265 10 10
1266 10 10
1267 10 10
1268 10 10
1269 10 10
1270 10 10
1271 10 10
1272 10 10
1273 10 10
1274 10 10
1275 10 10
1276 10 10
1277 10 10
1278 15 15
1279 15 15
1280 15 15
1281 15 15
1282 15 15
1283 15 15
1284 15 15
1285 15 15
1286 15 15
1287 15 15
1288 15 15
1289 15 15
1290 15 15
1291 15 15
1292 19 19
1293 19 19
1294 19 19
1295 19 19
1296 19 19
1297 19 19
1298 19 19
1299 19 19
1300 19 19
1301 19 19
1302 19 19
1303 19 19
1304 3 3
1305 3 3
1306 3 3
1307 3 3
1308 3 3
1309 3 3
1310 3 3
1311 3 3
1312 3 3
1313 3 3
1314 6 6
1315 6 6
1316 6 6
1317 6 6
1318 6 6
1319 6 6
1320 6 6
1321 6 6
1322 6 6
1323 6 6
1324 6 6
1325 6 6
1326 6 6
1327 6 6
1328 6 6
1329 6 6
1330 6 6
1331 6 6
1332 6 6
1333 6 6
1334 6 6
1335 6 6
1336 6 6
1337 10 10
1338 10 10
1339 10 10
1340 10 10
1341 10 10
1342 10 10
1343 10 10
1344 10 10
1345 10 10
1346 10 10
1347 10 10
1348 10 10
1349 10 10
1350 10 10
1351 10 10
1352 15 15
1353 15 15
1354 15 15
1355 15 15
1356 15 15
1357 15 15
1358 15 15
1359 15 15
1360 15 15
1361 15 15
1362 15 15
1363 15 15
1364 19 19
1365 19 19
1366 19 19
1367 19 19
1368 19 19
1369 19 19
1370 19 19
1371 19 19
1372 19 19
1373 19 19
1374 19 19
1375 19 19
1376 19 19
1377 3 3
1378 3 3
1379 3 3
1380 3 3
1381 3 3
1382 3 3
1383 3 3
1384 3 3
1385 3 3
1386 3 3
1387 6 6
1388 6 6
1389 6 6
1390 6 6
1391 6 6
1392 6 6
1393 6 6
1394 6 6
1395 6 6
1396 6 6
1397 6 6
1398 6 6
1399 6 6
1400 6 6
1401 6 6
1402 6 6
1403 6 6
1404 6 6
1405 6 6
1406 6 6
1407 6 6
1408 6 6
1409 6 6
1410 6 6
1411 6 6
1412 6 6
1413 6 6
1414 10 10
1415 10 10
1416 10 10
1417 10 10
1418 10 10
1419 10 10
1420 10 10
1421 10 10
1422 10 10
1423 10 10
1424 10 10
1425 10 10
1426 10 10
1427 10 10
1428 10 10
1429 10 10
1430 10 10
1431 10 10
1432 10 10
1433 10 10
1434 15 15
1435 15 15
1436 15 15
1437 15 15
1438 15 15
1439 15 15
1440 19 19
1441 19 19
1442 19 19
1443 19 19
1444 19 19
1445 19 19
1446 19 19
1447 19 19
1448 18 18
1449 18 18
1450 3 3
1451 3 3
1452 3 3
1453 3 3
1454 3 3
1455 3 3
1456 3 3
1457 3 3
1458 3 3
1459 6 6
1460 6 6
1461 6 6
1462 6 6
1463 6 6
1464 6 6
1465 6 6
1466 6 6
1467 6 6
1468 6 6
1469 6 6
1470 6 6
1471 6 6
1472 6 6
1473 6 6
1474 6 6
1475 6 6
1476 6 6
1477 6 6
1478 6 6
1479 6 6
1480 6 6
1481 6 6
1482 6 6
1483 6 6
1484 6 6
1485 6 6
1486 10 10
1487 10 10
1488 10 10
1489 10 10
1490 10 10
1491 10 10
1492 10 10
1493 10 10
1494 10 10
1495 10 10
1496 10 10
1497 10 10
1498 10 10
1499 10 10
1500 10 10
1501 10 10
1502 10 10
1503 10 10
1504 10 10
1505 10 10
1506 10 10
1507 10 10
1508 10 10
1509 15 15
1510 15 15
1511 15 15
1512 15 15
1513 15 15
1514 15 15
1515 15 15
1516 14 14
1517 14 14
1518 14 14
1519 18 18
1520 18 18
1521 18 18
1522 18 18
1523 18 18
1524 18 18
1525 18 18
1526 18 18
1527 18 18
1528 3 3
1529 3 3
1530 3 3
1531 3 3
1532 3 3
1533 3 3
1534 3 3
1535 6 6
1536 6 6
1537 6 6
1538 6 6
1539 6 6
1540 6 6
1541 6 6
1542 6 6
1543 6 6
1544 6 6
1545 6 6
1546 6 6
1547 6 6
1548 6 6
1549 6 6
1550 6 6
1551 6 6
1552 6 6
1553 6 6
1554 6 6
1555 6 6
1556 6 6
1557 6 6
1558 6 6
1559 6 6
1560 10 10
1561 10 10
1562 10 10
1563 10 10
1564 10 10
1565 10 10
1566 10 10
1567 10 10
1568 10 10
1569 10 10
1570 10 10
1571 10 10
1572 10 10
1573 10 10
1574 10 10
1575 10 10
1576 10 10
1577 10 10
1578 10 10
1579 10 10
1580 9 9
1581 9 9
1582 14 14
1583 14 14
1584 14 14
1585 14 14
1586 14 14
1587 14 14
1588 14 14
1589 14 14
1590 14 14
1591 14 14
1592 18 18
1593 18 18
1594 18 18
1595 18 18
1596 18 18
1597 18 18
1598 18 18
1599 18 18
1600 3 3
1601 3 3
1602 3 3
1603 3 3
1604 3 3
1605 3 3
1606 6 6
1607 6 6
1608 6 6
1609 6 6
1610 6 6
1611 6 6
1612 6 6
1613 6 6
1614 6 6
1615 6 6
1616 6 6
1617 6 6
1618 6 6
1619 6 6
1620 6 6
1621 6 6
1622 6 6
1623 6 6
1624 6 6
1625 6 6
1626 6 6
1627 6 6
1628 6 6
1629 6 6
1630 6 6
1631 6 6
1632 6 6
1633 6 6
1634 10 10
1635 9 9
1636 9 9
1637 9 9
1638 9 9
1639 9 9
1640 9 9
1641 9 9
1642 9 9
1643 9 9
1644 9 9
1645 9 9
1646 9 9
1647 9 9
1648 9 9
1649 9 9
1650 9 9
1651 9 9
1652 9 9
1653 9 9
1654 9 9
1655 9 9
1656 9 9
1657 9 9
1658 9 9
1659 14 14
1660 14 14
1661 14 14
1662 14 14
1663 14 14
1664 14 14
1665 14 14
1666 14 14
1667 14 14
1668 14 14
1669 14 14
1670 14 14
1671 14 14
1672 14 14
1673 18 18
1674 18 18
1675 18 18
1676 18 18
1677 18 18
1678 18 18
1679 18 18
1680 18 18
1681 18 18
1682 18 18
1683 3 3
1684 2 2
1685 2 2
1686 2 2
1687 2 2
1688 2 2
1689 5 5
1690 5 5
1691 5 5
1692 5 5
1693 5 5
1694 5 5
1695 5 5
1696 5 5
1697 5 5
1698 5 5
1699 5 5
1700 5 5
1701 5 5
1702 5 5
1703 5 5
1704 5 5
1705 5 5
1706 5 5
1707 5 5
1708 5 5
1709 5 5
1710 5 5
1711 5 5
1712 5 5
1713 5 5
1714 5 5
1715 9 9
1716 9 9
1717 9 9
1718 9 9
1719 9 9
1720 9 9
1721 9 9
1722 9 9
1723 9 9
1724 9 9
1725 9 9
1726 9 9
1727 9 9
1728 9 9
1729 9 9
1730 9 9
1731 9 9
1732 9 9
1733 9 9
1734 9 9
1735 9 9
1736 9 9
1737 14 14
1738 14 14
1739 14 14
1740 14 14
1741 14 14
1742 14 14
1743 14 14
1744 14 14
1745 14 14
1746 14 14
1747 14 14
1748 14 14
1749 14 14
1750 14 14
1751 14 14
1752 14 14
1753 14 14
1754 14 14
1755 18 18
1756 18 18
1757 18 18
1758 18 18
1759 18 18
1760 18 18
1761 18 18
1762 18 18
1763 18 18
1764 18 18
1765 2 2
1766 2 2
1767 2 2
1768 2 2
1769 2 2
1770 5 5
1771 5 5
1772 5 5
1773 5 5
1774 5 5
1775 5 5
1776 5 5
1777 5 5
1778 5 5
1779 5 5
1780 5 5
1781 5 5
1782 5 5
1783 5 5
1784 5 5
1785 5 5
1786 5 5
1787 5 5
1788 5 5
1789 5 5
1790 5 5
1791 5 5
1792 5 5
1793 5 5
1794 5 5
1795 5 5
1796 9 9
1797 9 9
1798 9 9
1799 9 9
1800 9 9
1801 9 9
1802 9 9
1803 9 9
1804 9 9
1805 9 9
1806 9 9
1807 9 9
1808 9 9
1809 9 9
1810 9 9
1811 9 9
1812 9 9
1813 9 9
1814 9 9
1815 9 9
1816 9 9
1817 14 14
1818 14 14
1819 14 14
1820 14 14
1821 14 14
1822 14 14
1823 14 14
1824 14 14
1825 14 14
1826 14 14
1827 14 14
1828 14 14
1829 14 14
1830 14 14
1831 14 14
1832 14 14
1833 14 14
1834 14 14
1835 14 14
1836 14 14
1837 18 18
1838 18 18
1839 18 18
1840 18 18
1841 18 18
1842 18 18
1843 18 18
1844 18 18
1845 18 18
1846 18 18
1847 18 18
1848 2 2
1849 2 2
1850 2 2
1851 2 2
1852 5 5
1853 5 5
1854 5 5
1855 5 5
1856 5 5
1857 5 5
1858 5 5
1859 5 5
1860 5 5
1861 5 5
1862 5 5
1863 5 5
1864 5 5
1865 5 5
1866 5 5
1867 5 5
1868 5 5
1869 5 5
1870 5 5
1871 5 5
1872 5 5
1873 5 5
1874 5 5
1875 5 5
1876 5 5
1877 9 9
1878 9 9
1879 9 9
1880 9 9
1881 9 9
1882 9 9
1883 9 9
1884 9 9
1885 9 9
1886 9 9
1887 9 9
1888 9 9
1889 9 9
1890 9 9
1891 9 9
1892 9 9
1893 9 9
1894 9 9
1895 9 9
1896 9 9
1897 9 9
1898 9 9
1899 9 9
1900 9 9
1901 9 9
1902 14 14
1903 14 14
1904 14 14
1905 14 14
1906 14 14
1907 14 14
1908 14 14
1909 14 14
1910 14 14
1911 14 14
1912 14 14
1913 14 14
1914 14 14
1915 14 14
1916 14 14
1917 14 14
1918 14 14
1919 14 14
1920 14 14
1921 14 14
1922 14 14
1923 14 14
1924 14 14
1925 18 18
1926 18 18
1927 18 18
1928 18 18
1929 18 18
1930 18 18
1931 18 18
1932 18 18
1933 18 18
1934 18 18
1935 18 18
1936 18 18
1937 18 18
1938 2 2
1939 2 2
1940 2 2
1941 2 2
1942 2 2
1943 2 2
1944 5 5
1945 5 5
1946 5 5
1947 5 5
1948 5 5
1949 5 5
1950 5 5
1951 5 5
1952 5 5
1953 5 5
1954 5 5
1955 5 5
1956 5 5
1957 5 5
1958 5 5
1959 5 5
1960 5 5
1961 5 5
1962 5 5
1963 5 5
1964 5 5
1965 9 9
1966 9 9
1967 9 9
1968 9 9
1969 9 9
1970 9 9
1971 9 9
1972 9 9
1973 9 9
1974 9 9
1975 9 9
1976 9 9
1977 9 9
1978 9 9
1979 9 9
1980 9 9
1981 9 9
1982 9 9
1983 9 9
1984 9 9
1985 9 9
1986 9 9
1987 9 9
1988 14 14
1989 14 14
1990 14 14
1991 14 14
1992 14 14
1993 14 14
1994 14 14
1995 14 14
1996 14 14
1997 14 14
1998 14 14
1999 14 14
2000 14 14
2001 14 14
2002 14 14
2003 14 14
2004 14 14
2005 14 14
2006 18 18
2007 18 18
2008 18 18
2009 18 18
2010 18 18
2011 18 18
2012 18 18
2013 18 18
2014 18 18
2015 18 18
2016 2 2
2017 2 2
2018 2 2
2019 2 2
2020 2 2
2021 2 2
2022 5 5
2023 5 5
2024 5 5
2025 5 5
2026 5 5
2027 5 5
2028 5 5
2029 5 5
2030 5 5
2031 5 5
2032 5 5
2033 5 5
2034 5 5
2035 5 5
2036 5 5
2037 5 5
2038 5 5
2039 5 5
2040 5 5
2041 5 5
2042 5 5
2043 5 5
2044 5 5
2045 9 9
2046 9 9
2047 9 9
2048 9 9
2049 9 9
2050 9 9
2051 9 9
2052 9 9
2053 9 9
2054 9 9
2055 9 9
2056 9 9
2057 9 9
2058 9 9
2059 9 9
2060 9 9
2061 9 9
2062 9 9
2063 9 9
2064 9 9
2065 14 14
2066 14 14
2067 14 14
2068 14 14
2069 14 14
2070 14 14
2071 14 14
2072 14 14
2073 14 14
2074 14 14
2075 14 14
2076 14 14
2077 14 14
2078 14 14
2079 14 14
2080 14 14
2081 18 18
2082 18 18
2083 18 18
2084 18 18
2085 18 18
2086 18 18
2087 18 18
2088 18 18
2089 18 18
2090 18 18
2091 2 2
2092 2 2
2093 2 2
2094 2 2
2095 2 2
2096 2 2
2097 2 2
2098 5 5
