location subarea FID
1 159 159
2 126 126
3 126 126
4 125 125
5 125 125
6 125 125
7 125 125
8 142 142
9 125 125
10 125 125
11 142 142
12 142 142
13 142 142
14 142 142
15 158 158
16 158 158
17 142 142
18 158 158
19 142 142
20 142 142
21 158 158
22 142 142
23 142 142
24 142 142
25 158 158
26 142 142
27 158 158
28 158 158
29 158 158
30 158 158
31 172 172
32 142 142
33 158 158
34 158 158
35 158 158
36 158 158
37 158 158
38 158 158
39 157 157
40 157 157
41 157 157
42 157 157
43 141 141
44 157 157
45 157 157
46 157 157
47 141 141
48 141 141
49 157 157
50 157 157
51 157 157
52 157 157
53 157 157
54 157 157
55 141 141
56 141 141
57 157 157
58 157 157
59 157 157
60 141 141
61 141 141
62 141 141
63 157 157
64 157 157
65 157 157
66 184 184
67 141 141
68 141 141
69 141 141
70 157 157
71 157 157
72 184 184
73 109 109
74 109 109
75 109 109
76 109 109
77 124 124
78 157 157
79 157 157
80 157 157
81 171 171
82 170 170
83 183 183
84 183 183
85 94 94
86 94 94
87 109 109
88 109 109
89 109 109
90 140 140
91 156 156
92 156 156
93 170 170
94 170 170
95 170 170
96 170 170
97 183 183
98 183 183
99 93 93
100 93 93
101 108 108
102 108 108
103 140 140
104 140 140
105 156 156
106 156 156
107 156 156
108 170 170
109 170 170
110 170 170
111 170 170
112 183 183
113 93 93
114 93 93
115 93 93
116 108 108
117 140 140
118 140 140
119 140 140
120 156 156
121 156 156
122 170 170
123 170 170
124 170 170
125 93 93
126 93 93
127 93 93
128 108 108
129 108 108
130 108 108
131 123 123
132 140 140
133 140 140
134 156 156
135 156 156
136 156 156
137 156 156
138 170 170
139 170 170
140 170 170
141 170 170
142 93 93
143 93 93
144 93 93
145 93 93
146 93 93
147 108 108
148 108 108
149 108 108
150 123 123
151 156 156
152 156 156
153 156 156
154 170 170
155 170 170
156 93 93
157 93 93
158 93 93
159 93 93
160 108 108
161 108 108
162 108 108
163 108 108
164 123 123
165 123 123
166 123 123
167 123 123
168 156 156
169 156 156
170 156 156
171 93 93
172 93 93
173 93 93
174 93 93
175 93 93
176 93 93
177 108 108
178 108 108
179 108 108
180 108 108
181 108 108
182 108 108
183 123 123
184 123 123
185 123 123
186 123 123
187 123 123
188 123 123
189 123 123
190 156 156
191 156 156
192 156 156
193 156 156
194 156 156
195 156 156
196 170 170
197 170 170
198 93 93
199 93 93
200 93 93
201 93 93
202 108 108
203 108 108
204 108 108
205 108 108
206 108 108
207 108 108
208 123 123
209 123 123
210 122 122
211 122 122
212 122 122
213 122 122
214 139 139
215 155 155
216 155 155
217 155 155
218 155 155
219 169 169
220 92 92
221 92 92
222 107 107
223 107 107
224 107 107
225 107 107
226 107 107
227 107 107
228 122 122
229 139 139
230 155 155
231 155 155
232 155 155
233 155 155
234 155 155
235 78 78
236 92 92
237 107 107
238 107 107
239 107 107
240 107 107
241 107 107
242 122 122
243 122 122
244 139 139
245 139 139
246 139 139
247 155 155
248 155 155
249 65 65
250 78 78
251 92 92
252 107 107
253 107 107
254 107 107
255 107 107
256 107 107
257 122 122
258 122 122
259 139 139
260 139 139
261 139 139
262 155 155
263 155 155
264 169 169
265 169 169
266 78 78
267 78 78
268 107 107
269 107 107
270 107 107
271 107 107
272 107 107
273 107 107
274 107 107
275 122 122
276 122 122
277 139 139
278 139 139
279 139 139
280 155 155
281 169 169
282 65 65
283 78 78
284 78 78
285 92 92
286 92 92
287 92 92
288 92 92
289 92 92
290 107 107
291 107 107
292 107 107
293 107 107
294 107 107
295 107 107
296 107 107
297 107 107
298 122 122
299 122 122
300 122 122
301 122 122
302 139 139
303 139 139
304 139 139
305 139 139
306 139 139
307 139 139
308 155 155
309 78 78
310 78 78
311 78 78
312 92 92
313 92 92
314 92 92
315 92 92
316 92 92
317 92 92
318 92 92
319 92 92
320 107 107
321 107 107
322 107 107
323 107 107
324 107 107
325 107 107
326 107 107
327 122 122
328 122 122
329 122 122
330 122 122
331 122 122
332 122 122
333 122 122
334 139 139
335 139 139
336 139 139
337 139 139
338 139 139
339 139 139
340 139 139
341 155 155
342 155 155
343 155 155
344 65 65
345 65 65
346 78 78
347 78 78
348 78 78
349 78 78
350 92 92
351 92 92
352 92 92
353 92 92
354 92 92
355 92 92
356 92 92
357 92 92
358 107 107
359 107 107
360 107 107
361 107 107
362 107 107
363 107 107
364 107 107
365 122 122
366 122 122
367 122 122
368 121 121
369 121 121
370 121 121
371 121 121
372 138 138
373 138 138
374 138 138
375 138 138
376 138 138
377 138 138
378 154 154
