location subarea FID
1 851 851
2 650 650
3 690 690
4 650 650
5 690 690
6 690 690
7 690 690
8 811 811
9 689 689
10 730 730
11 730 730
12 771 771
13 771 771
14 811 811
15 850 850
16 850 850
17 771 771
18 889 889
19 770 770
20 770 770
21 849 849
22 770 770
23 810 810
24 810 810
25 888 888
26 810 810
27 810 810
28 849 849
29 888 888
30 922 922
31 922 922
32 809 809
33 809 809
34 848 848
35 848 848
36 887 887
37 887 887
38 921 921
39 848 848
40 848 848
41 848 848
42 887 887
43 769 769
44 848 848
45 848 848
46 848 848
47 768 768
48 768 768
49 808 808
50 847 847
51 847 847
52 886 886
53 886 886
54 886 886
55 768 768
56 768 768
57 808 808
58 847 847
59 886 886
60 768 768
61 768 768
62 808 808
63 808 808
64 847 847
65 846 846
66 1007 1007
67 767 767
68 807 807
69 807 807
70 807 807
71 846 846
72 1007 1007
73 572 572
74 572 572
75 609 609
76 609 609
77 609 609
78 807 807
79 885 885
80 885 885
81 919 919
82 981 981
83 981 981
84 1007 1007
85 500 500
86 500 500
87 535 535
88 572 572
89 572 572
90 806 806
91 806 806
92 884 884
93 918 918
94 918 918
95 950 950
96 980 980
97 1006 1006
98 1006 1006
99 499 499
100 499 499
101 534 534
102 534 534
103 806 806
104 806 806
105 806 806
106 845 845
107 845 845
108 918 918
109 918 918
110 918 918
111 950 950
112 1006 1006
113 499 499
114 499 499
115 499 499
116 534 534
117 766 766
118 806 806
119 806 806
120 806 806
121 845 845
122 918 918
123 950 950
124 950 950
125 465 465
126 499 499
127 499 499
128 534 534
129 534 534
130 571 571
131 646 646
132 724 724
133 765 765
134 805 805
135 844 844
136 883 883
137 917 917
138 917 917
139 949 949
140 949 949
141 979 979
142 464 464
143 464 464
144 464 464
145 498 498
146 498 498
147 533 533
148 533 533
149 533 533
150 645 645
151 805 805
152 844 844
153 844 844
154 949 949
155 949 949
156 464 464
157 464 464
158 464 464
159 498 498
160 533 533
161 533 533
162 533 533
163 570 570
164 645 645
165 683 683
166 683 683
167 683 683
168 844 844
169 844 844
170 844 844
171 430 430
172 464 464
173 464 464
174 464 464
175 498 498
176 498 498
177 533 533
178 533 533
179 533 533
180 570 570
181 570 570
182 607 607
183 607 607
184 645 645
185 645 645
186 644 644
187 682 682
188 682 682
189 682 682
190 843 843
191 843 843
192 843 843
193 882 882
194 882 882
195 916 916
196 916 916
197 916 916
198 429 429
199 463 463
200 463 463
201 497 497
202 532 532
203 532 532
204 569 569
205 569 569
206 569 569
207 606 606
208 606 606
209 644 644
210 644 644
211 644 644
212 682 682
213 682 682
214 804 804
215 804 804
216 843 843
217 843 843
218 882 882
219 916 916
220 429 429
221 497 497
222 532 532
223 532 532
224 569 569
225 569 569
226 569 569
227 606 606
228 606 606
229 804 804
230 804 804
231 843 843
232 843 843
233 882 882
234 882 882
235 365 365
236 429 429
237 532 532
238 569 569
239 569 569
240 569 569
241 605 605
242 605 605
243 643 643
244 763 763
245 803 803
246 803 803
247 803 803
248 842 842
249 333 333
250 364 364
251 428 428
252 531 531
253 568 568
254 568 568
255 605 605
256 605 605
257 605 605
258 681 681
259 763 763
260 803 803
261 803 803
262 881 881
263 881 881
264 947 947
265 947 947
266 364 364
267 364 364
268 531 531
269 531 531
270 531 531
271 568 568
272 568 568
273 568 568
274 605 605
275 681 681
276 722 722
277 763 763
278 803 803
279 803 803
280 880 880
281 946 946
282 333 333
283 364 364
284 364 364
285 428 428
286 462 462
287 496 496
288 496 496
289 496 496
290 531 531
291 531 531
292 530 530
293 567 567
294 567 567
295 567 567
296 604 604
297 604 604
298 604 604
299 642 642
300 680 680
301 721 721
302 721 721
303 762 762
304 762 762
305 762 762
306 802 802
307 802 802
308 880 880
309 363 363
310 395 395
311 427 427
312 427 427
313 427 427
314 461 461
315 461 461
316 495 495
317 495 495
318 495 495
319 530 530
320 530 530
321 530 530
322 567 567
323 567 567
324 567 567
325 604 604
326 604 604
327 604 604
328 642 642
329 642 642
330 680 680
331 680 680
332 680 680
333 721 721
334 721 721
335 721 721
336 762 762
337 762 762
338 762 762
339 802 802
340 802 802
341 841 841
342 841 841
343 880 880
344 332 332
345 332 332
346 363 363
347 363 363
348 395 395
349 427 427
350 427 427
351 427 427
352 461 461
353 461 461
354 495 495
355 495 495
356 495 495
357 530 530
358 530 530
359 530 530
360 567 567
361 567 567
362 567 567
363 604 604
364 604 604
365 604 604
366 642 642
367 642 642
368 642 642
369 680 680
370 680 680
371 721 721
372 721 721
373 721 721
374 762 762
375 762 762
376 762 762
377 802 802
378 913 913
379 913 913
380 913 913
381 945 945
382 363 363
383 395 395
384 395 395
385 427 427
386 427 427
387 427 427
388 494 494
389 494 494
390 494 494
391 529 529
392 529 529
393 529 529
394 566 566
395 566 566
396 566 566
397 603 603
398 603 603
399 641 641
400 641 641
401 679 679
402 720 720
403 720 720
404 720 720
405 761 761
406 761 761
407 761 761
408 801 801
409 801 801
410 801 801
411 913 913
412 362 362
413 362 362
414 394 394
415 394 394
416 394 394
417 426 426
418 426 426
419 460 460
420 494 494
421 494 494
422 494 494
423 529 529
424 529 529
425 529 529
426 566 566
427 566 566
428 566 566
429 603 603
430 603 603
431 641 641
432 641 641
433 679 679
434 720 720
435 761 761
436 761 761
437 801 801
438 913 913
439 362 362
440 362 362
441 394 394
442 394 394
443 394 394
444 426 426
445 426 426
446 426 426
447 494 494
448 494 494
449 494 494
450 529 529
451 529 529
452 529 529
453 566 566
454 566 566
455 566 566
456 603 603
457 603 603
458 679 679
459 679 679
460 800 800
461 878 878
462 912 912
463 912 912
464 944 944
465 362 362
466 362 362
467 362 362
468 394 394
469 394 394
470 394 394
471 425 425
472 425 425
473 425 425
474 459 459
475 459 459
476 493 493
477 493 493
478 528 528
479 528 528
480 528 528
481 565 565
482 565 565
483 565 565
484 602 602
485 602 602
486 602 602
487 640 640
488 640 640
489 678 678
490 678 678
491 678 678
492 878 878
493 912 912
494 944 944
495 278 278
496 278 278
497 330 330
498 330 330
499 361 361
500 361 361
501 361 361
502 393 393
503 393 393
504 425 425
505 425 425
506 459 459
507 459 459
508 493 493
509 493 493
510 528 528
511 528 528
512 528 528
513 565 565
514 565 565
515 565 565
516 602 602
517 602 602
518 602 602
519 640 640
520 640 640
521 640 640
522 678 678
523 678 678
524 678 678
525 878 878
526 912 912
527 278 278
528 303 303
529 303 303
530 330 330
531 361 361
532 361 361
533 361 361
534 393 393
535 393 393
536 393 393
537 459 459
538 459 459
539 493 493
540 493 493
541 528 528
542 528 528
543 528 528
544 565 565
545 565 565
546 602 602
547 602 602
548 640 640
549 640 640
550 640 640
551 678 678
552 678 678
553 677 677
554 718 718
555 718 718
556 759 759
557 799 799
558 838 838
559 877 877
560 877 877
561 911 911
562 911 911
563 303 303
564 330 330
565 330 330
566 361 361
567 360 360
568 392 392
569 392 392
570 424 424
571 458 458
572 458 458
573 492 492
574 492 492
575 527 527
576 527 527
577 527 527
578 601 601
579 601 601
580 601 601
581 639 639
582 639 639
583 677 677
584 677 677
585 677 677
586 759 759
587 759 759
588 759 759
589 799 799
590 799 799
591 838 838
592 838 838
593 838 838
594 877 877
595 877 877
596 911 911
597 911 911
598 277 277
599 277 277
600 302 302
601 302 302
602 329 329
603 329 329
604 329 329
605 360 360
606 360 360
607 360 360
608 392 392
609 392 392
610 392 392
611 424 424
612 458 458
613 492 492
614 492 492
615 492 492
616 564 564
617 564 564
618 601 601
619 601 601
620 601 601
621 639 639
622 639 639
623 677 677
624 677 677
625 759 759
626 759 759
627 799 799
628 799 799
629 799 799
630 838 838
631 838 838
632 838 838
633 877 877
634 877 877
635 877 877
636 277 277
637 277 277
638 277 277
639 302 302
640 302 302
641 360 360
642 360 360
643 392 392
644 392 392
645 392 392
646 424 424
647 458 458
648 458 458
649 458 458
650 492 492
651 527 527
652 564 564
653 601 601
654 639 639
655 638 638
656 638 638
657 676 676
658 676 676
659 676 676
660 758 758
661 798 798
662 837 837
663 837 837
664 837 837
665 876 876
666 876 876
667 277 277
668 277 277
669 277 277
670 302 302
671 328 328
672 328 328
673 359 359
674 359 359
675 391 391
676 391 391
677 391 391
678 423 423
679 457 457
680 457 457
681 457 457
682 491 491
683 526 526
684 526 526
685 600 600
686 638 638
687 676 676
688 676 676
689 676 676
690 717 717
691 758 758
692 837 837
693 876 876
694 276 276
695 276 276
696 301 301
697 301 301
698 301 301
699 328 328
700 328 328
701 359 359
702 359 359
703 359 359
704 391 391
705 391 391
706 391 391
707 423 423
708 423 423
709 423 423
710 457 457
711 457 457
712 457 457
713 491 491
714 491 491
715 491 491
716 526 526
717 563 563
718 600 600
719 638 638
720 676 676
721 676 676
722 676 676
723 717 717
724 717 717
725 941 941
726 971 971
727 301 301
728 328 328
729 359 359
730 391 391
731 391 391
732 391 391
733 423 423
734 423 423
735 423 423
736 457 457
737 457 457
738 457 457
739 491 491
740 491 491
741 491 491
742 526 526
743 526 526
744 563 563
745 563 563
746 599 599
747 599 599
748 675 675
749 675 675
750 716 716
751 716 716
752 875 875
753 875 875
