location subarea FID
1 13 13.0
2 13 13.0
3 13 13.0
4 13 13.0
5 13 13.0
6 13 13.0
7 13 13.0
8 13 13.0
9 13 13.0
10 13 13.0
11 13 13.0
12 13 13.0
13 13 13.0
14 13 13.0
15 13 13.0
16 13 13.0
17 13 13.0
18 13 13.0
19 13 13.0
20 13 13.0
21 13 13.0
22 13 13.0
23 13 13.0
24 13 13.0
25 13 13.0
26 13 13.0
27 13 13.0
28 13 13.0
29 13 13.0
30 13 13.0
31 13 13.0
32 13 13.0
33 13 13.0
34 13 13.0
35 13 13.0
36 13 13.0
37 13 13.0
38 13 13.0
39 13 13.0
40 13 13.0
41 13 13.0
42 13 13.0
43 13 13.0
44 13 13.0
45 13 13.0
46 13 13.0
47 13 13.0
48 13 13.0
49 13 13.0
50 13 13.0
51 13 13.0
52 13 13.0
53 13 13.0
54 13 13.0
55 13 13.0
56 13 13.0
57 13 13.0
58 13 13.0
59 49 49.0
60 13 13.0
61 13 13.0
62 13 13.0
63 13 13.0
64 13 13.0
65 13 13.0
66 49 49.0
67 13 13.0
68 13 13.0
69 13 13.0
70 13 13.0
71 13 13.0
72 49 49.0
73 31 31.0
74 31 31.0
75 31 31.0
76 31 31.0
77 31 31.0
78 13 13.0
79 49 49.0
80 49 49.0
81 49 49.0
82 49 49.0
83 49 49.0
84 49 49.0
85 31 31.0
86 31 31.0
87 31 31.0
88 31 31.0
89 31 31.0
90 49 49.0
91 49 49.0
92 49 49.0
93 49 49.0
94 49 49.0
95 49 49.0
96 49 49.0
97 49 49.0
98 49 49.0
99 31 31.0
100 31 31.0
101 31 31.0
102 31 31.0
103 49 49.0
104 49 49.0
105 49 49.0
106 49 49.0
107 49 49.0
108 49 49.0
109 49 49.0
110 49 49.0
111 49 49.0
112 49 49.0
113 31 31.0
114 31 31.0
115 31 31.0
116 31 31.0
117 49 49.0
118 49 49.0
119 49 49.0
120 49 49.0
121 49 49.0
122 49 49.0
123 49 49.0
124 49 49.0
125 31 31.0
126 31 31.0
127 31 31.0
128 31 31.0
129 31 31.0
130 31 31.0
131 31 31.0
132 4 4.0
133 49 49.0
134 49 49.0
135 49 49.0
136 49 49.0
137 49 49.0
138 49 49.0
139 49 49.0
140 49 49.0
141 49 49.0
142 31 31.0
143 31 31.0
144 31 31.0
145 31 31.0
146 31 31.0
147 31 31.0
148 31 31.0
149 31 31.0
150 31 31.0
151 49 49.0
152 49 49.0
153 49 49.0
154 49 49.0
155 49 49.0
156 31 31.0
157 31 31.0
158 31 31.0
159 31 31.0
160 31 31.0
161 31 31.0
162 31 31.0
163 31 31.0
164 31 31.0
165 4 4.0
166 4 4.0
167 4 4.0
168 49 49.0
169 49 49.0
170 49 49.0
171 31 31.0
172 31 31.0
173 31 31.0
174 31 31.0
175 31 31.0
176 31 31.0
177 31 31.0
178 31 31.0
179 31 31.0
180 31 31.0
181 31 31.0
182 31 31.0
183 31 31.0
184 31 31.0
185 31 31.0
186 31 31.0
187 4 4.0
188 4 4.0
189 4 4.0
190 49 49.0
191 49 49.0
192 49 49.0
193 49 49.0
194 49 49.0
195 49 49.0
196 49 49.0
197 49 49.0
198 9 9.0
199 31 31.0
200 31 31.0
201 31 31.0
202 31 31.0
203 31 31.0
204 31 31.0
205 31 31.0
206 31 31.0
207 31 31.0
208 31 31.0
209 31 31.0
210 31 31.0
211 4 4.0
212 4 4.0
213 4 4.0
214 49 49.0
215 49 49.0
216 49 49.0
217 49 49.0
218 49 49.0
219 49 49.0
220 9 9.0
221 31 31.0
222 31 31.0
223 31 31.0
224 31 31.0
225 31 31.0
226 31 31.0
227 31 31.0
228 31 31.0
229 4 4.0
230 49 49.0
231 49 49.0
232 49 49.0
233 49 49.0
234 49 49.0
235 9 9.0
236 9 9.0
237 31 31.0
238 31 31.0
239 31 31.0
240 31 31.0
241 31 31.0
242 31 31.0
243 31 31.0
244 4 4.0
245 4 4.0
246 4 4.0
247 49 49.0
248 49 49.0
249 9 9.0
250 9 9.0
251 9 9.0
252 31 31.0
253 31 31.0
254 31 31.0
255 31 31.0
256 31 31.0
257 31 31.0
258 4 4.0
259 4 4.0
260 4 4.0
261 4 4.0
262 49 49.0
263 49 49.0
264 49 49.0
265 49 49.0
266 9 9.0
267 9 9.0
268 31 31.0
269 31 31.0
270 31 31.0
271 31 31.0
272 31 31.0
273 31 31.0
274 31 31.0
275 4 4.0
276 4 4.0
277 4 4.0
278 4 4.0
279 4 4.0
280 49 49.0
281 49 49.0
282 9 9.0
283 9 9.0
284 9 9.0
285 9 9.0
286 9 9.0
287 38 38.0
288 38 38.0
289 38 38.0
290 38 38.0
291 38 38.0
292 38 38.0
293 38 38.0
294 38 38.0
295 38 38.0
296 38 38.0
297 38 38.0
298 4 4.0
299 4 4.0
300 4 4.0
301 4 4.0
302 4 4.0
303 4 4.0
304 4 4.0
305 4 4.0
306 4 4.0
307 4 4.0
308 49 49.0
309 9 9.0
310 9 9.0
311 9 9.0
312 9 9.0
313 9 9.0
314 9 9.0
315 9 9.0
316 38 38.0
317 38 38.0
318 38 38.0
319 38 38.0
320 38 38.0
321 38 38.0
322 38 38.0
323 38 38.0
324 38 38.0
325 38 38.0
326 38 38.0
327 38 38.0
328 4 4.0
329 4 4.0
330 4 4.0
331 4 4.0
332 4 4.0
333 4 4.0
334 4 4.0
335 4 4.0
336 4 4.0
337 4 4.0
338 4 4.0
339 4 4.0
340 4 4.0
341 4 4.0
342 4 4.0
343 32 32.0
344 9 9.0
345 9 9.0
346 9 9.0
347 9 9.0
348 9 9.0
349 9 9.0
350 9 9.0
351 9 9.0
352 9 9.0
353 9 9.0
354 38 38.0
355 38 38.0
356 38 38.0
357 38 38.0
358 38 38.0
359 38 38.0
360 38 38.0
361 38 38.0
362 38 38.0
363 38 38.0
364 38 38.0
365 38 38.0
366 4 4.0
367 4 4.0
368 4 4.0
369 4 4.0
370 4 4.0
371 4 4.0
372 4 4.0
373 4 4.0
