location subarea FID
1 11 11.0
2 11 11.0
3 11 11.0
4 11 11.0
5 11 11.0
6 11 11.0
7 11 11.0
8 11 11.0
9 11 11.0
10 11 11.0
11 11 11.0
12 11 11.0
13 11 11.0
14 11 11.0
15 11 11.0
16 11 11.0
17 11 11.0
18 11 11.0
19 11 11.0
20 11 11.0
21 11 11.0
22 11 11.0
23 11 11.0
24 11 11.0
25 11 11.0
26 11 11.0
27 11 11.0
28 11 11.0
29 11 11.0
30 11 11.0
31 11 11.0
32 11 11.0
33 11 11.0
34 11 11.0
35 11 11.0
36 11 11.0
37 11 11.0
38 11 11.0
39 11 11.0
40 11 11.0
41 11 11.0
42 11 11.0
43 11 11.0
44 11 11.0
45 11 11.0
46 11 11.0
47 11 11.0
48 11 11.0
49 11 11.0
50 11 11.0
51 11 11.0
52 11 11.0
53 11 11.0
54 11 11.0
55 11 11.0
56 11 11.0
57 11 11.0
58 11 11.0
59 11 11.0
60 11 11.0
61 11 11.0
62 11 11.0
63 11 11.0
64 11 11.0
65 11 11.0
66 11 11.0
67 11 11.0
68 11 11.0
69 11 11.0
70 11 11.0
71 11 11.0
72 11 11.0
73 5 5.0
74 5 5.0
75 5 5.0
76 5 5.0
77 5 5.0
78 11 11.0
79 11 11.0
80 11 11.0
81 11 11.0
82 11 11.0
83 11 11.0
84 11 11.0
85 5 5.0
86 5 5.0
87 5 5.0
88 5 5.0
89 5 5.0
90 11 11.0
91 11 11.0
92 11 11.0
93 11 11.0
94 11 11.0
95 11 11.0
96 11 11.0
97 11 11.0
98 11 11.0
99 5 5.0
100 5 5.0
101 5 5.0
102 5 5.0
103 11 11.0
104 11 11.0
105 11 11.0
106 11 11.0
107 11 11.0
108 11 11.0
109 11 11.0
110 11 11.0
111 11 11.0
112 11 11.0
113 5 5.0
114 5 5.0
115 5 5.0
116 5 5.0
117 11 11.0
118 11 11.0
119 11 11.0
120 11 11.0
121 11 11.0
122 11 11.0
123 11 11.0
124 11 11.0
125 5 5.0
126 5 5.0
127 5 5.0
128 5 5.0
129 5 5.0
130 5 5.0
131 5 5.0
132 11 11.0
133 11 11.0
134 11 11.0
135 11 11.0
136 11 11.0
137 11 11.0
138 11 11.0
139 11 11.0
140 11 11.0
141 11 11.0
142 5 5.0
143 5 5.0
144 5 5.0
145 5 5.0
146 5 5.0
147 5 5.0
148 5 5.0
149 5 5.0
150 5 5.0
151 11 11.0
152 11 11.0
153 11 11.0
154 11 11.0
155 11 11.0
156 5 5.0
157 5 5.0
158 5 5.0
159 5 5.0
160 5 5.0
161 5 5.0
162 5 5.0
163 5 5.0
164 5 5.0
165 5 5.0
166 5 5.0
167 11 11.0
168 11 11.0
169 11 11.0
170 11 11.0
171 5 5.0
172 5 5.0
173 5 5.0
174 5 5.0
175 5 5.0
176 5 5.0
177 5 5.0
178 5 5.0
179 5 5.0
180 5 5.0
181 5 5.0
182 5 5.0
183 5 5.0
184 5 5.0
185 5 5.0
186 5 5.0
187 5 5.0
188 5 5.0
189 5 5.0
190 11 11.0
191 11 11.0
192 11 11.0
193 11 11.0
194 11 11.0
195 11 11.0
196 11 11.0
197 11 11.0
198 5 5.0
199 5 5.0
200 5 5.0
201 5 5.0
202 5 5.0
203 5 5.0
204 5 5.0
205 5 5.0
206 5 5.0
207 5 5.0
208 5 5.0
209 5 5.0
210 5 5.0
211 5 5.0
212 5 5.0
213 5 5.0
214 11 11.0
215 11 11.0
216 11 11.0
217 11 11.0
218 11 11.0
219 11 11.0
220 5 5.0
221 5 5.0
222 5 5.0
223 5 5.0
224 5 5.0
225 5 5.0
226 5 5.0
227 5 5.0
228 5 5.0
229 11 11.0
230 11 11.0
231 11 11.0
232 11 11.0
233 11 11.0
234 11 11.0
235 5 5.0
236 5 5.0
237 5 5.0
238 5 5.0
239 5 5.0
240 5 5.0
241 5 5.0
242 5 5.0
243 5 5.0
244 11 11.0
245 11 11.0
246 11 11.0
247 11 11.0
248 11 11.0
249 10 10.0
250 5 5.0
251 5 5.0
252 5 5.0
253 5 5.0
254 5 5.0
255 5 5.0
256 5 5.0
257 5 5.0
258 5 5.0
259 11 11.0
260 11 11.0
261 11 11.0
262 11 11.0
263 11 11.0
264 11 11.0
265 11 11.0
266 10 10.0
267 5 5.0
268 5 5.0
269 5 5.0
270 5 5.0
271 5 5.0
272 5 5.0
273 5 5.0
274 5 5.0
275 5 5.0
276 5 5.0
277 18 18.0
278 18 18.0
279 18 18.0
280 11 11.0
281 11 11.0
282 10 10.0
283 10 10.0
284 10 10.0
285 5 5.0
286 5 5.0
287 5 5.0
288 5 5.0
289 5 5.0
290 5 5.0
291 5 5.0
292 5 5.0
293 5 5.0
294 5 5.0
295 5 5.0
296 5 5.0
297 5 5.0
298 5 5.0
299 5 5.0
300 5 5.0
301 18 18.0
302 18 18.0
303 18 18.0
304 18 18.0
305 18 18.0
306 18 18.0
307 18 18.0
308 18 18.0
309 10 10.0
310 10 10.0
311 5 5.0
312 5 5.0
313 5 5.0
314 5 5.0
315 5 5.0
316 5 5.0
317 5 5.0
318 5 5.0
319 5 5.0
320 5 5.0
321 5 5.0
322 5 5.0
323 5 5.0
324 5 5.0
325 5 5.0
326 5 5.0
327 5 5.0
328 5 5.0
329 5 5.0
330 5 5.0
331 5 5.0
332 18 18.0
333 18 18.0
334 18 18.0
335 18 18.0
336 18 18.0
337 18 18.0
338 18 18.0
339 18 18.0
340 18 18.0
341 18 18.0
342 18 18.0
343 18 18.0
344 10 10.0
345 10 10.0
346 10 10.0
347 10 10.0
348 10 10.0
349 5 5.0
350 5 5.0
351 5 5.0
352 5 5.0
353 5 5.0
354 5 5.0
355 5 5.0
356 5 5.0
357 5 5.0
358 5 5.0
359 5 5.0
360 5 5.0
361 5 5.0
362 5 5.0
363 5 5.0
364 5 5.0
365 5 5.0
366 5 5.0
367 5 5.0
368 5 5.0
369 18 18.0
370 18 18.0
371 18 18.0
372 18 18.0
373 18 18.0
374 18 18.0
375 18 18.0
376 18 18.0
377 18 18.0
378 18 18.0
379 18 18.0
380 18 18.0
381 18 18.0
382 10 10.0
383 10 10.0
384 10 10.0
385 10 10.0
386 5 5.0
387 5 5.0
388 5 5.0
389 5 5.0
390 5 5.0
391 5 5.0
392 5 5.0
393 5 5.0
394 5 5.0
395 5 5.0
396 5 5.0
397 5 5.0
398 5 5.0
399 5 5.0
400 5 5.0
401 18 18.0
402 18 18.0
403 18 18.0
404 18 18.0
405 18 18.0
406 18 18.0
407 18 18.0
408 18 18.0
409 18 18.0
410 18 18.0
411 18 18.0
412 10 10.0
413 10 10.0
414 10 10.0
415 10 10.0
416 10 10.0
417 10 10.0
418 10 10.0
419 5 5.0
420 5 5.0
421 5 5.0
422 5 5.0
423 5 5.0
424 5 5.0
425 5 5.0
426 5 5.0
427 5 5.0
428 5 5.0
429 5 5.0
430 5 5.0
431 5 5.0
432 18 18.0
433 18 18.0
434 18 18.0
435 18 18.0
436 18 18.0
437 18 18.0
438 18 18.0
439 10 10.0
440 10 10.0
441 10 10.0
442 10 10.0
443 10 10.0
444 10 10.0
445 10 10.0
446 10 10.0
447 5 5.0
448 5 5.0
449 5 5.0
450 5 5.0
451 5 5.0
452 5 5.0
453 5 5.0
454 5 5.0
455 5 5.0
456 5 5.0
457 5 5.0
458 18 18.0
459 18 18.0
460 18 18.0
461 18 18.0
462 18 18.0
463 18 18.0
464 18 18.0
465 10 10.0
466 10 10.0
467 10 10.0
468 10 10.0
469 10 10.0
470 10 10.0
471 10 10.0
472 10 10.0
473 10 10.0
474 10 10.0
475 5 5.0
476 5 5.0
477 5 5.0
478 5 5.0
479 5 5.0
480 5 5.0
481 5 5.0
482 5 5.0
483 5 5.0
484 5 5.0
485 5 5.0
486 5 5.0
487 18 18.0
488 18 18.0
489 18 18.0
490 18 18.0
491 18 18.0
492 18 18.0
493 18 18.0
494 18 18.0
495 10 10.0
496 10 10.0
497 10 10.0
498 10 10.0
499 10 10.0
500 10 10.0
501 10 10.0
502 10 10.0
503 10 10.0
504 10 10.0
505 10 10.0
506 10 10.0
507 10 10.0
508 10 10.0
509 5 5.0
510 5 5.0
511 5 5.0
512 5 5.0
513 5 5.0
514 5 5.0
515 5 5.0
