location subarea FID
1 168 168.0
2 35 35.0
3 35 35.0
4 35 35.0
5 35 35.0
6 35 35.0
7 35 35.0
8 168 168.0
9 35 35.0
10 35 35.0
11 35 35.0
12 168 168.0
13 168 168.0
14 168 168.0
15 168 168.0
16 168 168.0
17 168 168.0
18 168 168.0
19 168 168.0
20 168 168.0
21 49 49.0
22 168 168.0
23 168 168.0
24 168 168.0
25 49 49.0
26 168 168.0
27 168 168.0
28 49 49.0
29 49 49.0
30 49 49.0
31 49 49.0
32 168 168.0
33 49 49.0
34 49 49.0
35 49 49.0
36 49 49.0
37 49 49.0
38 49 49.0
39 49 49.0
40 49 49.0
41 49 49.0
42 49 49.0
43 69 69.0
44 49 49.0
45 49 49.0
46 49 49.0
47 69 69.0
48 69 69.0
49 69 69.0
50 49 49.0
51 49 49.0
52 49 49.0
53 49 49.0
54 49 49.0
55 69 69.0
56 69 69.0
57 69 69.0
58 69 69.0
59 49 49.0
60 69 69.0
61 69 69.0
62 69 69.0
63 69 69.0
64 69 69.0
65 69 69.0
66 11 11.0
67 69 69.0
68 69 69.0
69 69 69.0
70 69 69.0
71 69 69.0
72 11 11.0
73 81 81.0
74 81 81.0
75 81 81.0
76 81 81.0
77 81 81.0
78 69 69.0
79 69 69.0
80 11 11.0
81 11 11.0
82 11 11.0
83 11 11.0
84 11 11.0
85 81 81.0
86 81 81.0
87 81 81.0
88 81 81.0
89 81 81.0
90 69 69.0
91 69 69.0
92 11 11.0
93 11 11.0
94 11 11.0
95 11 11.0
96 11 11.0
97 11 11.0
98 11 11.0
99 81 81.0
100 81 81.0
101 81 81.0
102 81 81.0
103 69 69.0
104 69 69.0
105 69 69.0
106 69 69.0
107 69 69.0
108 11 11.0
109 11 11.0
110 11 11.0
111 11 11.0
112 11 11.0
113 141 141.0
114 81 81.0
115 81 81.0
116 81 81.0
117 69 69.0
118 69 69.0
119 69 69.0
120 69 69.0
121 69 69.0
122 11 11.0
123 11 11.0
124 11 11.0
125 141 141.0
126 81 81.0
127 81 81.0
128 81 81.0
129 81 81.0
130 81 81.0
131 102 102.0
132 69 69.0
133 69 69.0
134 124 124.0
135 124 124.0
136 124 124.0
137 11 11.0
138 11 11.0
139 11 11.0
140 11 11.0
141 11 11.0
142 141 141.0
143 141 141.0
144 141 141.0
145 141 141.0
146 81 81.0
147 81 81.0
148 81 81.0
149 81 81.0
150 102 102.0
151 124 124.0
152 124 124.0
153 124 124.0
154 11 11.0
155 11 11.0
156 141 141.0
157 141 141.0
158 141 141.0
159 141 141.0
160 81 81.0
161 81 81.0
162 81 81.0
163 81 81.0
164 102 102.0
165 102 102.0
166 102 102.0
167 102 102.0
168 124 124.0
169 124 124.0
170 124 124.0
171 141 141.0
172 141 141.0
173 141 141.0
174 141 141.0
175 141 141.0
176 141 141.0
177 81 81.0
178 6 6.0
179 6 6.0
180 6 6.0
181 6 6.0
182 6 6.0
183 102 102.0
184 102 102.0
185 102 102.0
186 102 102.0
187 102 102.0
188 102 102.0
189 102 102.0
190 124 124.0
191 124 124.0
192 124 124.0
193 124 124.0
194 124 124.0
195 189 189.0
196 189 189.0
197 189 189.0
198 141 141.0
199 141 141.0
200 141 141.0
201 141 141.0
202 6 6.0
203 6 6.0
204 6 6.0
205 6 6.0
206 6 6.0
207 6 6.0
208 102 102.0
209 102 102.0
210 102 102.0
211 102 102.0
212 102 102.0
213 102 102.0
214 124 124.0
215 124 124.0
216 124 124.0
217 124 124.0
218 124 124.0
219 189 189.0
220 141 141.0
221 141 141.0
222 6 6.0
223 6 6.0
224 6 6.0
225 6 6.0
226 6 6.0
227 6 6.0
228 102 102.0
229 124 124.0
230 124 124.0
231 124 124.0
232 124 124.0
233 124 124.0
234 124 124.0
235 122 122.0
236 141 141.0
237 6 6.0
238 6 6.0
239 6 6.0
240 6 6.0
241 6 6.0
242 6 6.0
243 102 102.0
244 44 44.0
245 44 44.0
246 44 44.0
247 124 124.0
248 124 124.0
249 122 122.0
250 122 122.0
251 64 64.0
252 6 6.0
253 6 6.0
254 6 6.0
255 6 6.0
256 6 6.0
257 102 102.0
258 66 66.0
259 44 44.0
260 44 44.0
261 44 44.0
262 27 27.0
263 27 27.0
264 189 189.0
265 189 189.0
266 122 122.0
267 122 122.0
268 161 161.0
269 6 6.0
270 6 6.0
271 6 6.0
272 6 6.0
273 6 6.0
274 6 6.0
275 66 66.0
276 149 149.0
277 44 44.0
278 44 44.0
279 44 44.0
280 27 27.0
281 189 189.0
282 122 122.0
283 122 122.0
284 122 122.0
285 64 64.0
286 64 64.0
287 161 161.0
288 161 161.0
289 161 161.0
290 161 161.0
291 161 161.0
292 85 85.0
293 85 85.0
294 85 85.0
295 85 85.0
296 85 85.0
297 85 85.0
298 66 66.0
299 66 66.0
300 66 66.0
301 149 149.0
302 149 149.0
303 149 149.0
304 44 44.0
305 44 44.0
306 44 44.0
307 44 44.0
308 27 27.0
309 122 122.0
310 122 122.0
311 64 64.0
312 64 64.0
313 64 64.0
314 64 64.0
315 161 161.0
316 161 161.0
317 161 161.0
318 161 161.0
319 161 161.0
320 161 161.0
321 85 85.0
322 85 85.0
323 85 85.0
324 85 85.0
325 85 85.0
326 85 85.0
327 66 66.0
328 66 66.0
329 66 66.0
330 66 66.0
331 66 66.0
332 66 66.0
333 149 149.0
334 149 149.0
335 149 149.0
336 149 149.0
337 44 44.0
338 44 44.0
339 44 44.0
340 44 44.0
341 44 44.0
342 27 27.0
343 27 27.0
344 122 122.0
345 122 122.0
346 122 122.0
347 122 122.0
348 122 122.0
349 64 64.0
350 64 64.0
351 64 64.0
352 64 64.0
353 161 161.0
354 161 161.0
355 161 161.0
356 161 161.0
357 161 161.0
358 161 161.0
359 85 85.0
360 85 85.0
361 85 85.0
362 85 85.0
363 85 85.0
364 85 85.0
365 66 66.0
366 66 66.0
367 66 66.0
368 66 66.0
369 66 66.0
370 66 66.0
371 149 149.0
372 149 149.0
373 149 149.0
374 149 149.0
375 149 149.0
376 44 44.0
377 44 44.0
378 27 27.0
379 27 27.0
380 27 27.0
381 27 27.0
382 122 122.0
383 64 64.0
384 64 64.0
385 64 64.0
386 64 64.0
387 64 64.0
388 161 161.0
389 161 161.0
390 161 161.0
391 161 161.0
392 161 161.0
393 85 85.0
394 85 85.0
395 85 85.0
396 85 85.0
397 85 85.0
398 85 85.0
399 66 66.0
400 66 66.0
401 66 66.0
402 149 149.0
403 149 149.0
404 149 149.0
405 149 149.0
406 149 149.0
407 44 44.0
408 44 44.0
409 44 44.0
410 44 44.0
411 27 27.0
412 122 122.0
413 122 122.0
414 26 26.0
415 26 26.0
416 64 64.0
417 64 64.0
418 64 64.0
419 64 64.0
420 161 161.0
421 161 161.0
422 161 161.0
423 161 161.0
424 161 161.0
425 85 85.0
426 85 85.0
427 85 85.0
428 85 85.0
429 85 85.0
430 85 85.0
431 66 66.0
432 66 66.0
433 66 66.0
434 149 149.0
435 149 149.0
436 149 149.0
437 44 44.0
438 27 27.0
439 26 26.0
440 26 26.0
441 26 26.0
442 26 26.0
443 26 26.0
444 26 26.0
445 64 64.0
446 64 64.0
447 161 161.0
448 161 161.0
449 161 161.0
450 161 161.0
451 161 161.0
452 85 85.0
453 85 85.0
454 85 85.0
455 85 85.0
456 85 85.0
457 109 109.0
458 66 66.0
459 66 66.0
460 67 67.0
461 92 92.0
462 92 92.0
463 92 92.0
464 92 92.0
465 63 63.0
466 26 26.0
467 26 26.0
468 26 26.0
469 26 26.0
470 26 26.0
471 26 26.0
472 26 26.0
473 64 64.0
474 64 64.0
475 14 14.0
476 14 14.0
477 14 14.0
478 14 14.0
479 14 14.0
480 14 14.0
481 85 85.0
482 109 109.0
483 109 109.0
484 109 109.0
485 109 109.0
486 109 109.0
487 109 109.0
488 31 31.0
489 31 31.0
490 31 31.0
491 31 31.0
492 92 92.0
493 92 92.0
494 92 92.0
495 173 173.0
496 173 173.0
497 173 173.0
498 63 63.0
499 63 63.0
500 63 63.0
501 26 26.0
502 26 26.0
503 26 26.0
504 26 26.0
505 26 26.0
506 14 14.0
507 14 14.0
508 14 14.0
509 14 14.0
510 14 14.0
511 14 14.0
512 14 14.0
513 109 109.0
514 109 109.0
515 109 109.0
516 109 109.0
517 109 109.0
518 109 109.0
519 109 109.0
520 31 31.0
521 31 31.0
522 31 31.0
523 31 31.0
524 31 31.0
525 92 92.0
526 92 92.0
527 173 173.0
528 173 173.0
529 173 173.0
530 63 63.0
531 63 63.0
532 63 63.0
533 63 63.0
534 26 26.0
535 26 26.0
536 26 26.0
537 14 14.0
538 14 14.0
539 14 14.0
540 14 14.0
541 14 14.0
542 14 14.0
543 14 14.0
544 109 109.0
545 109 109.0
546 109 109.0
547 109 109.0
548 109 109.0
549 31 31.0
550 31 31.0
551 31 31.0
552 31 31.0
553 31 31.0
554 31 31.0
555 31 31.0
556 67 67.0
557 67 67.0
558 92 92.0
559 92 92.0
560 92 92.0
561 92 92.0
562 92 92.0
563 173 173.0
564 173 173.0
565 63 63.0
566 63 63.0
567 63 63.0
568 26 26.0
