location subarea FID
1 877 877.0
2 187 187.0
3 187 187.0
4 187 187.0
5 187 187.0
6 187 187.0
7 767 767.0
8 949 949.0
9 767 767.0
10 767 767.0
11 101 101.0
12 101 101.0
13 669 669.0
14 949 949.0
15 288 288.0
16 288 288.0
17 669 669.0
18 734 734.0
19 823 823.0
20 823 823.0
21 734 734.0
22 823 823.0
23 823 823.0
24 191 191.0
25 734 734.0
26 191 191.0
27 191 191.0
28 812 812.0
29 9 9.0
30 9 9.0
31 9 9.0
32 191 191.0
33 191 191.0
34 812 812.0
35 812 812.0
36 9 9.0
37 9 9.0
38 9 9.0
39 812 812.0
40 814 814.0
41 814 814.0
42 814 814.0
43 66 66.0
44 237 237.0
45 237 237.0
46 814 814.0
47 66 66.0
48 66 66.0
49 732 732.0
50 237 237.0
51 237 237.0
52 474 474.0
53 474 474.0
54 936 936.0
55 66 66.0
56 66 66.0
57 732 732.0
58 732 732.0
59 936 936.0
60 296 296.0
61 296 296.0
62 296 296.0
63 732 732.0
64 508 508.0
65 508 508.0
66 463 463.0
67 296 296.0
68 296 296.0
69 870 870.0
70 870 870.0
71 508 508.0
72 463 463.0
73 570 570.0
74 23 23.0
75 23 23.0
76 23 23.0
77 23 23.0
78 870 870.0
79 111 111.0
80 111 111.0
81 111 111.0
82 763 763.0
83 463 463.0
84 463 463.0
85 495 495.0
86 495 495.0
87 495 495.0
88 570 570.0
89 570 570.0
90 870 870.0
91 870 870.0
92 111 111.0
93 111 111.0
94 213 213.0
95 763 763.0
96 763 763.0
97 114 114.0
98 114 114.0
99 156 156.0
100 495 495.0
101 495 495.0
102 570 570.0
103 38 38.0
104 38 38.0
105 492 492.0
106 492 492.0
107 492 492.0
108 111 111.0
109 213 213.0
110 213 213.0
111 213 213.0
112 114 114.0
113 156 156.0
114 156 156.0
115 495 495.0
116 495 495.0
117 38 38.0
118 38 38.0
119 38 38.0
120 492 492.0
121 492 492.0
122 711 711.0
123 341 341.0
124 341 341.0
125 424 424.0
126 807 807.0
127 807 807.0
128 248 248.0
129 248 248.0
130 248 248.0
131 89 89.0
132 791 791.0
133 38 38.0
