location subarea FID
1 1 17
2 1 17
3 1 17
4 1 17
5 1 17
6 1 17
7 1 17
8 1 17
9 1 17
10 1 17
11 1 17
12 1 17
13 1 17
14 1 17
15 1 17
16 1 17
17 1 17
18 1 17
19 1 17
20 1 17
21 1 17
22 1 17
23 1 17
24 1 17
25 1 17
26 1 17
27 1 17
28 1 17
29 1 17
30 1 17
31 1 17
32 1 17
33 2 16
34 2 16
35 2 16
36 1 17
37 1 17
38 1 17
39 2 16
40 2 16
41 2 16
42 2 16
43 2 16
44 2 16
45 2 16
46 2 16
47 1 17
48 2 16
49 2 16
50 2 16
51 2 16
52 1 17
53 1 17
54 2 16
55 2 16
56 2 16
57 2 16
58 2 16
59 2 16
60 1 17
61 1 17
62 2 16
63 2 16
64 2 16
65 1 17
66 2 16
67 2 16
68 2 16
69 2 16
70 2 16
71 2 16
72 2 16
73 2 16
74 2 16
75 2 16
76 2 16
77 3 20
78 3 20
79 1 17
80 1 17
81 1 17
82 1 17
83 1 17
84 2 16
85 2 16
86 2 16
87 2 16
88 2 16
89 3 20
90 3 20
91 4 1
92 4 1
93 4 1
94 4 1
95 4 1
96 2 16
97 2 16
98 2 16
99 2 16
100 2 16
101 5 19
102 3 20
103 3 20
104 3 20
105 4 1
106 4 1
107 4 1
108 4 1
109 2 16
110 2 16
111 2 16
112 2 16
113 2 16
114 5 19
115 5 19
116 5 19
117 5 19
118 3 20
119 4 1
120 4 1
121 4 1
122 4 1
123 2 16
124 2 16
125 2 16
126 2 16
127 2 16
128 2 16
129 5 19
130 3 20
131 3 20
132 4 1
133 4 1
134 4 1
135 4 1
136 4 1
137 4 1
138 1 17
139 2 16
140 2 16
141 2 16
142 2 16
143 5 19
144 5 19
145 5 19
146 3 20
147 3 20
148 3 20
149 4 1
150 4 1
151 4 1
152 4 1
153 4 1
154 4 1
155 4 1
156 4 1
157 1 17
158 5 19
159 5 19
160 5 19
161 5 19
162 5 19
163 3 20
164 3 20
165 4 1
166 4 1
167 4 1
168 4 1
169 4 1
170 4 1
171 4 1
172 4 1
173 6 18
174 2 16
175 2 16
176 2 16
177 5 19
178 5 19
179 5 19
180 5 19
181 4 1
182 4 1
183 4 1
184 4 1
185 4 1
186 4 1
187 4 1
188 4 1
189 4 1
190 7 3
191 7 3
192 6 18
193 6 18
