location subarea FID
1 2 2
2 3 3
3 3 3
4 3 3
5 3 3
6 3 3
7 3 3
8 2 2
9 3 3
10 3 3
11 2 2
12 2 2
13 2 2
14 2 2
15 2 2
16 2 2
17 2 2
18 2 2
19 2 2
20 2 2
21 2 2
22 2 2
23 2 2
24 2 2
25 2 2
26 2 2
27 2 2
28 2 2
29 2 2
30 2 2
31 2 2
32 2 2
33 2 2
34 2 2
35 2 2
36 2 2
37 2 2
38 2 2
39 2 2
40 2 2
41 2 2
42 2 2
43 2 2
44 2 2
45 2 2
46 2 2
47 2 2
48 2 2
49 2 2
50 2 2
51 2 2
52 2 2
53 2 2
54 2 2
55 2 2
56 2 2
57 2 2
58 2 2
59 2 2
60 2 2
61 2 2
62 2 2
63 2 2
64 2 2
65 2 2
66 2 2
67 2 2
68 2 2
69 2 2
70 2 2
71 2 2
72 2 2
73 18 18
74 18 18
75 18 18
76 18 18
77 18 18
78 2 2
79 2 2
80 2 2
81 2 2
82 2 2
83 2 2
84 2 2
85 18 18
86 18 18
87 18 18
88 18 18
89 18 18
90 2 2
91 2 2
92 2 2
93 2 2
94 2 2
95 2 2
96 2 2
97 2 2
98 2 2
99 18 18
100 18 18
101 18 18
102 18 18
103 2 2
104 2 2
105 2 2
106 2 2
107 2 2
108 2 2
109 2 2
110 2 2
111 2 2
112 2 2
113 18 18
114 18 18
115 18 18
116 18 18
117 2 2
118 2 2
119 2 2
120 2 2
121 2 2
122 2 2
123 2 2
124 2 2
125 18 18
126 18 18
127 18 18
128 18 18
129 18 18
130 18 18
131 3 3
132 3 3
133 2 2
134 2 2
135 2 2
136 2 2
137 2 2
138 2 2
139 2 2
140 2 2
141 2 2
142 18 18
143 18 18
144 18 18
145 18 18
146 18 18
147 18 18
148 18 18
149 18 18
150 3 3
151 2 2
152 2 2
153 2 2
154 2 2
155 2 2
156 18 18
157 18 18
158 18 18
159 18 18
160 18 18
161 18 18
162 18 18
163 18 18
164 3 3
165 3 3
166 3 3
167 3 3
168 2 2
169 2 2
170 2 2
171 18 18
172 18 18
173 18 18
174 18 18
175 18 18
176 18 18
177 18 18
178 18 18
179 18 18
180 18 18
181 3 3
182 3 3
183 3 3
184 3 3
185 3 3
186 3 3
187 3 3
188 3 3
189 3 3
190 2 2
191 2 2
192 2 2
193 2 2
194 2 2
195 2 2
196 2 2
197 2 2
198 18 18
199 18 18
200 18 18
201 18 18
202 18 18
203 18 18
204 18 18
205 3 3
206 3 3
207 3 3
208 3 3
209 3 3
210 3 3
211 3 3
212 3 3
213 3 3
214 2 2
215 2 2
216 2 2
217 2 2
218 2 2
219 2 2
220 18 18
221 18 18
222 18 18
223 18 18
224 18 18
225 3 3
226 3 3
227 3 3
228 3 3
229 2 2
230 2 2
231 2 2
232 2 2
233 2 2
234 2 2
235 18 18
236 18 18
237 18 18
238 18 18
239 3 3
240 3 3
241 3 3
242 3 3
243 3 3
244 2 2
245 2 2
246 2 2
247 2 2
248 2 2
249 18 18
250 18 18
251 18 18
252 18 18
253 3 3
254 3 3
255 3 3
256 3 3
257 3 3
258 3 3
259 2 2
260 2 2
261 2 2
262 2 2
263 2 2
264 2 2
265 2 2
266 18 18
267 18 18
268 18 18
269 18 18
270 18 18
271 3 3
272 3 3
273 3 3
274 3 3
275 3 3
276 3 3
277 2 2
278 2 2
279 2 2
280 2 2
281 2 2
282 18 18
283 18 18
284 18 18
285 18 18
286 18 18
287 18 18
288 18 18
289 18 18
290 18 18
291 18 18
292 3 3
293 3 3
294 3 3
295 3 3
296 3 3
297 3 3
298 3 3
