location subarea FID
1 1 52
2 2 54
3 2 54
4 1 52
5 2 54
6 2 54
7 2 54
8 2 54
9 2 54
10 2 54
11 1 52
12 2 54
13 2 54
14 2 54
15 2 54
16 1 52
17 1 52
18 1 52
19 1 52
20 2 54
21 1 52
22 2 54
23 1 52
24 1 52
25 2 54
26 1 52
27 1 52
28 1 52
29 1 52
30 1 52
31 1 52
32 1 52
33 1 52
34 3 156
35 3 156
36 1 52
37 1 52
38 1 52
39 1 52
40 3 156
41 3 156
42 3 156
43 1 52
44 1 52
45 3 156
46 3 156
47 2 54
48 1 52
49 3 156
50 3 156
51 3 156
52 4 53
53 4 53
54 5 155
55 5 155
56 3 156
57 3 156
58 3 156
59 3 156
60 4 53
61 4 53
62 5 155
63 5 155
64 3 156
65 4 53
66 5 155
67 5 155
68 5 155
69 5 155
70 5 155
71 6 106
72 5 155
73 5 155
74 5 155
75 5 155
76 5 155
77 6 106
78 6 106
79 7 51
80 7 51
81 8 112
82 8 112
83 8 112
84 5 155
85 9 150
86 10 154
87 10 154
88 6 106
89 6 106
90 6 106
91 11 108
92 7 51
93 7 51
94 7 51
95 7 51
96 5 155
97 5 155
98 9 150
99 10 154
100 10 154
101 6 106
102 6 106
103 6 106
104 6 106
105 11 108
106 11 108
107 11 108
108 7 51
109 5 155
110 5 155
111 5 155
112 5 155
113 9 150
114 10 154
115 10 154
116 10 154
117 6 106
118 6 106
119 11 108
120 11 108
121 11 108
122 11 108
123 5 155
124 5 155
125 5 155
126 5 155
127 9 150
128 9 150
129 10 154
130 6 106
131 6 106
132 11 108
133 11 108
134 11 108
135 11 108
136 11 108
137 11 108
138 8 112
139 5 155
140 5 155
141 9 150
142 9 150
143 9 150
144 10 154
145 10 154
146 6 106
147 6 106
148 6 106
149 12 109
150 11 108
151 11 108
152 11 108
153 11 108
154 11 108
155 11 108
156 13 107
157 8 112
158 14 151
159 9 150
160 9 150
161 9 150
162 10 154
163 6 106
164 6 106
165 12 109
166 12 109
167 11 108
168 13 107
169 13 107
170 13 107
171 13 107
172 13 107
173 8 112
174 8 112
175 15 104
176 15 104
177 14 151
178 14 151
179 9 150
180 9 150
181 12 109
182 12 109
183 12 109
184 13 107
185 13 107
186 13 107
187 13 107
188 13 107
189 13 107
190 16 111
191 16 111
192 16 111
193 15 104
194 15 104
195 15 104
196 15 104
197 15 104
198 15 104
199 15 104
200 14 151
201 14 151
202 9 150
203 9 150
204 9 150
205 9 150
206 10 154
207 10 154
208 12 109
209 12 109
210 13 107
211 13 107
212 13 107
213 16 111
214 16 111
215 16 111
216 16 111
217 16 111
218 15 104
219 15 104
220 15 104
221 15 104
222 15 104
223 15 104
224 14 151
225 14 151
226 14 151
227 14 151
228 9 150
229 17 153
230 12 109
231 13 107
232 16 111
233 16 111
234 16 111
235 16 111
236 16 111
237 16 111
238 15 104
239 14 151
240 14 151
241 14 151
242 14 151
243 14 151
244 9 150
245 18 46
246 18 46
247 12 109
248 16 111
249 16 111
250 16 111
251 16 111
252 15 104
253 15 104
254 15 104
255 14 151
256 14 151
257 14 151
258 14 151
259 14 151
260 18 46
261 18 46
262 19 110
263 16 111
264 16 111
265 16 111
266 15 104
267 15 104
268 15 104
269 15 104
270 20 103
271 20 103
272 20 103
273 21 152
274 21 152
275 17 153
276 17 153
277 18 46
278 22 44
279 16 111
280 16 111
281 16 111
282 16 111
283 16 111
284 23 47
285 23 47
286 15 104
287 15 104
288 20 103
289 20 103
290 20 103
291 21 152
292 17 153
293 18 46
294 18 46
295 22 44
296 19 110
297 19 110
298 19 110
299 16 111
300 16 111
301 16 111
302 16 111
303 16 111
304 23 47
305 23 47
306 23 47
307 23 47
308 15 104
309 15 104
310 15 104
311 15 104
312 24 48
313 24 48
314 25 164
315 20 103
316 20 103
317 20 103
318 20 103
319 21 152
320 22 44
321 22 44
322 22 44
323 19 110
324 19 110
325 19 110
326 19 110
327 19 110
328 19 110
329 26 50
330 26 50
331 26 50
332 26 50
333 26 50
334 23 47
335 23 47
336 23 47
337 23 47
338 23 47
339 15 104
340 15 104
341 15 104
342 15 104
343 24 48
344 24 48
345 24 48
346 24 48
