location subarea FID
1 326 326
2 323 323
3 323 323
4 323 323
5 323 323
6 323 323
7 603 603
8 606 606
9 603 603
10 603 603
11 603 603
12 606 606
13 606 606
14 604 604
15 605 605
16 605 605
17 848 848
18 838 838
19 846 846
20 848 848
21 838 838
22 847 847
23 847 847
24 847 847
25 838 838
26 839 839
27 839 839
28 838 838
29 837 837
30 835 835
31 835 835
32 839 839
33 836 836
34 837 837
35 837 837
36 837 837
37 832 832
38 832 832
39 840 840
40 837 837
41 837 837
42 837 837
43 842 842
44 840 840
45 600 600
46 600 600
47 973 973
48 973 973
49 840 840
50 600 600
51 600 600
52 600 600
53 833 833
54 833 833
55 973 973
56 973 973
57 840 840
58 600 600
59 833 833
60 973 973
61 973 973
62 1034 1034
63 824 824
64 824 824
65 602 602
66 57 57
67 1034 1034
68 1034 1034
69 826 826
70 824 824
71 824 824
72 56 56
73 818 818
74 818 818
75 814 814
76 814 814
77 828 828
78 824 824
79 938 938
80 764 764
81 764 764
82 58 58
83 56 56
84 56 56
85 327 327
86 327 327
87 595 595
88 815 815
89 815 815
90 1027 1027
91 1027 1027
92 764 764
93 763 763
94 543 543
95 55 55
96 58 58
97 56 56
98 56 56
99 327 327
100 327 327
101 327 327
102 595 595
103 1031 1031
104 1027 1027
105 1027 1027
106 1029 1029
107 1029 1029
108 763 763
109 543 543
110 543 543
111 543 543
112 72 72
113 328 328
114 594 594
115 594 594
116 594 594
117 1030 1030
118 1031 1031
119 1027 1027
120 1028 1028
121 1028 1028
122 763 763
123 54 54
124 53 53
125 328 328
126 594 594
127 594 594
128 594 594
129 594 594
130 817 817
131 827 827
132 1033 1033
133 1030 1030
134 825 825
135 940 940
136 761 761
137 761 761
138 52 52
139 54 54
140 73 73
141 73 73
142 310 310
143 328 328
144 328 328
145 594 594
146 594 594
147 594 594
148 594 594
149 322 322
150 827 827
151 822 822
152 940 940
153 940 940
154 54 54
155 73 73
156 310 310
157 310 310
158 328 328
159 311 311
160 311 311
161 311 311
162 322 322
163 322 322
164 596 596
165 827 827
166 827 827
167 975 975
168 823 823
169 823 823
170 762 762
171 310 310
172 310 310
173 310 310
174 778 778
175 778 778
176 311 311
177 311 311
178 311 311
179 322 322
180 322 322
181 322 322
182 796 796
183 796 796
184 796 796
185 796 796
186 827 827
187 827 827
188 977 977
189 977 977
190 823 823
191 823 823
192 762 762
193 762 762
194 762 762
195 70 70
196 70 70
197 70 70
198 310 310
199 310 310
200 778 778
201 778 778
202 311 311
203 322 322
204 322 322
205 322 322
206 322 322
207 802 802
208 802 802
209 802 802
210 802 802
211 802 802
212 963 963
213 963 963
214 598 598
215 597 597
216 597 597
217 597 597
218 762 762
219 70 70
220 310 310
221 778 778
222 308 308
223 308 308
224 322 322
225 322 322
226 802 802
227 802 802
228 802 802
229 591 591
230 597 597
231 597 597
232 597 597
233 597 597
234 762 762
235 185 185
236 573 573
237 308 308
238 308 308
239 322 322
240 802 802
241 802 802
242 802 802
243 802 802
244 598 598
245 591 591
246 591 591
247 597 597
248 597 597
249 185 185
250 185 185
251 573 573
252 309 309
253 972 972
254 802 802
255 802 802
256 802 802
257 801 801
258 963 963
259 592 592
260 592 592
261 592 592
262 589 589
263 589 589
264 76 76
265 75 75
266 185 185
267 184 184
268 309 309
269 309 309
270 309 309
271 182 182
272 972 972
273 972 972
274 972 972
275 967 967
276 965 965
277 592 592
278 592 592
279 592 592
280 589 589
281 76 76
282 185 185
283 185 185
284 186 186
285 780 780
286 780 780
287 777 777
288 779 779
289 779 779
290 779 779
291 182 182
292 182 182
293 182 182
294 972 972
295 972 972
296 972 972
297 971 971
298 971 971
299 801 801
300 967 967
301 965 965
302 965 965
303 966 966
304 966 966
305 592 592
306 592 592
307 587 587
308 589 589
309 184 184
310 317 317
311 571 571
312 571 571
313 780 780
314 781 781
315 781 781
316 777 777
317 777 777
318 779 779
319 779 779
320 182 182
321 182 182
322 182 182
323 972 972
324 972 972
325 972 972
326 968 968
327 971 971
328 969 969
329 969 969
330 809 809
331 809 809
332 809 809
333 965 965
334 965 965
335 965 965
336 593 593
337 593 593
338 593 593
339 587 587
340 587 587
341 587 587
342 585 585
343 589 589
344 184 184
345 184 184
346 184 184
347 186 186
348 317 317
349 571 571
350 571 571
351 313 313
352 781 781
353 781 781
354 777 777
355 777 777
356 779 779
357 779 779
358 182 182
359 182 182
360 182 182
361 307 307
362 307 307
363 970 970
364 970 970
365 971 971
366 969 969
367 969 969
368 809 809
369 809 809
370 809 809
371 810 810
372 810 810
373 593 593
374 593 593
375 593 593
376 593 593
377 587 587
378 589 589
379 77 77
380 204 204
381 204 204
382 316 316
383 314 314
384 315 315
385 315 315
386 571 571
387 313 313
388 782 782
389 777 777
390 777 777
391 783 783
392 783 783
393 182 182
394 307 307
395 307 307
396 307 307
397 970 970
398 970 970
399 812 812
400 812 812
401 811 811
402 810 810
403 810 810
404 804 804
405 593 593
406 593 593
407 593 593
408 593 593
409 587 587
410 587 587
411 204 204
412 316 316
413 316 316
414 316 316
415 314 314
416 315 315
417 315 315
418 313 313
419 313 313
420 782 782
421 782 782
422 782 782
423 783 783
424 783 783
425 783 783
426 62 62
427 62 62
428 307 307
429 307 307
430 970 970
431 812 812
432 812 812
433 806 806
434 806 806
435 804 804
436 593 593
437 187 187
