location subarea FID
1 15 14
2 15 14
3 15 14
4 15 14
5 15 14
6 15 14
7 15 14
8 15 14
9 15 14
10 15 14
11 15 14
12 15 14
13 15 14
14 15 14
15 15 14
16 15 14
17 15 14
18 15 14
19 15 14
20 15 14
21 15 14
22 15 14
23 15 14
24 15 14
25 15 14
26 15 14
27 15 14
28 15 14
29 15 14
30 15 14
31 11 10
32 11 10
33 11 10
34 11 10
35 11 10
36 11 10
37 11 10
38 11 10
39 15 14
40 15 14
41 15 14
42 15 14
43 15 14
44 15 14
45 15 14
46 15 14
47 15 14
48 11 10
49 11 10
50 11 10
51 11 10
52 11 10
53 11 10
54 11 10
55 11 10
56 11 10
57 15 14
58 15 14
59 15 14
60 15 14
61 15 14
62 15 14
63 15 14
64 15 14
65 15 14
66 15 14
67 11 10
68 11 10
69 11 10
70 11 10
71 11 10
72 11 10
73 11 10
74 11 10
75 11 10
76 11 10
77 11 10
78 11 10
79 11 10
80 15 14
81 15 14
82 15 14
83 15 14
84 15 14
85 15 14
86 15 14
87 15 14
88 15 14
89 15 14
90 15 14
91 11 10
92 11 10
93 11 10
94 11 10
95 11 10
96 11 10
97 11 10
98 11 10
99 11 10
100 11 10
101 11 10
102 11 10
103 11 10
104 15 14
105 15 14
106 15 14
107 15 14
108 15 14
109 15 14
110 15 14
111 15 14
112 15 14
113 15 14
114 15 14
115 11 10
116 11 10
117 11 10
118 11 10
119 11 10
120 11 10
121 11 10
122 11 10
123 11 10
124 11 10
125 11 10
126 11 10
127 15 14
128 15 14
129 15 14
130 15 14
131 15 14
132 15 14
133 15 14
134 15 14
135 10 9
136 10 9
137 11 10
138 11 10
139 11 10
140 11 10
141 11 10
142 11 10
143 11 10
144 11 10
145 11 10
146 11 10
147 11 10
148 11 10
149 11 10
150 11 10
151 15 14
152 15 14
153 15 14
154 15 14
155 15 14
156 15 14
157 15 14
158 15 14
159 15 14
160 15 14
161 15 14
162 11 10
163 11 10
164 11 10
165 11 10
166 11 10
167 11 10
168 11 10
169 11 10
170 11 10
171 11 10
172 11 10
173 11 10
174 11 10
175 15 14
176 15 14
177 15 14
178 15 14
179 15 14
180 15 14
181 15 14
182 15 14
183 15 14
184 15 14
185 15 14
186 15 14
187 15 14
188 11 10
189 11 10
190 11 10
191 11 10
192 11 10
193 11 10
194 11 10
195 11 10
196 11 10
197 11 10
198 11 10
199 11 10
200 15 14
201 15 14
202 15 14
203 15 14
204 15 14
205 15 14
206 15 14
207 15 14
208 15 14
209 15 14
210 15 14
211 15 14
212 15 14
213 15 14
214 10 9
215 12 11
216 12 11
217 11 10
218 11 10
219 11 10
220 11 10
221 11 10
222 11 10
223 11 10
224 11 10
225 11 10
226 11 10
227 11 10
228 15 14
229 15 14
230 15 14
231 15 14
232 15 14
233 15 14
234 15 14
235 15 14
236 15 14
237 15 14
238 10 9
239 10 9
240 12 11
241 12 11
242 12 11
243 12 11
244 12 11
245 11 10
246 11 10
247 11 10
248 11 10
249 11 10
250 11 10
251 11 10
252 15 14
253 15 14
254 15 14
255 15 14
256 15 14
257 15 14
258 15 14
259 15 14
260 15 14
261 15 14
262 15 14
263 15 14
264 10 9
265 10 9
266 12 11
267 12 11
268 12 11
269 12 11
270 12 11
271 12 11
272 12 11
273 12 11
274 11 10
275 11 10
276 15 14
277 15 14
278 15 14
279 15 14
280 15 14
281 15 14
282 15 14
283 15 14
284 15 14
285 15 14
286 15 14
287 15 14
288 15 14
289 10 9
290 10 9
291 12 11
292 12 11
293 12 11
294 12 11
295 12 11
296 12 11
297 12 11
298 12 11
299 16 15
300 16 15
301 16 15
302 15 14
303 15 14
304 15 14
305 15 14
306 15 14
307 15 14
308 15 14
309 15 14
310 15 14
311 15 14
312 15 14
313 15 14
314 15 14
315 15 14
316 10 9
317 10 9
318 12 11
319 12 11
320 12 11
321 16 15
322 16 15
323 16 15
324 13 12
325 15 14
326 15 14
327 15 14
328 15 14
329 15 14
330 15 14
331 15 14
332 15 14
333 15 14
334 15 14
335 15 14
336 15 14
337 15 14
338 15 14
339 10 9
340 10 9
341 10 9
342 12 11
343 16 15
344 16 15
345 16 15
346 13 12
347 13 12
348 13 12
349 15 14
350 15 14
351 15 14
352 15 14
353 15 14
354 15 14
355 15 14
356 15 14
357 15 14
358 15 14
359 15 14
360 15 14
361 15 14
362 9 8
363 9 8
364 10 9
365 10 9
366 10 9
367 10 9
368 12 11
369 16 15
370 16 15
371 13 12
372 13 12
373 13 12
374 13 12
375 15 14
376 15 14
377 15 14
378 15 14
379 15 14
380 15 14
381 15 14
382 15 14
383 15 14
384 15 14
385 15 14
386 15 14
387 9 8
388 9 8
389 9 8
390 9 8
391 10 9
392 10 9
393 16 15
394 16 15
395 13 12
396 13 12
397 13 12
398 13 12
399 13 12
400 15 14
401 15 14
402 15 14
403 15 14
404 15 14
405 15 14
406 15 14
407 15 14
408 15 14
409 15 14
410 15 14
411 9 8
412 9 8
413 9 8
414 9 8
415 9 8
416 10 9
417 10 9
418 13 12
419 13 12
420 13 12
421 13 12
422 13 12
423 13 12
424 13 12
425 13 12
426 13 12
427 15 14
428 15 14
429 15 14
430 15 14
431 15 14
432 15 14
433 15 14
434 15 14
435 9 8
436 9 8
437 9 8
438 9 8
439 9 8
440 9 8
441 9 8
442 10 9
443 10 9
444 10 9
445 10 9
446 10 9
447 10 9
448 10 9
449 13 12
450 13 12
451 13 12
452 13 12
453 13 12
454 13 12
455 13 12
456 15 14
457 15 14
458 15 14
459 15 14
460 15 14
461 15 14
462 15 14
463 9 8
464 9 8
465 9 8
466 9 8
467 9 8
468 9 8
469 9 8
470 9 8
471 10 9
472 10 9
473 10 9
474 10 9
475 10 9
476 10 9
477 10 9
478 18 17
479 12 11
480 12 11
481 16 15
482 13 12
483 13 12
484 13 12
485 13 12
486 13 12
487 13 12
488 15 14
489 15 14
490 15 14
491 15 14
492 15 14
493 15 14
494 9 8
495 9 8
496 9 8
497 9 8
498 9 8
499 9 8
500 9 8
501 9 8
502 9 8
503 10 9
504 10 9
505 10 9
506 10 9
507 10 9
508 10 9
509 10 9
510 18 17
511 18 17
512 18 17
513 13 12
514 13 12
515 13 12
516 13 12
517 13 12
518 13 12
519 13 12
520 13 12
521 15 14
522 15 14
523 15 14
524 15 14
525 15 14
526 9 8
527 9 8
528 9 8
529 9 8
530 9 8
531 9 8
532 9 8
533 9 8
534 9 8
535 9 8
536 9 8
537 10 9
538 10 9
539 10 9
540 10 9
541 10 9
542 10 9
543 18 17
544 18 17
545 13 12
546 13 12
547 13 12
548 13 12
549 13 12
550 13 12
551 13 12
552 13 12
553 13 12
554 15 14
555 15 14
556 15 14
557 15 14
558 9 8
559 9 8
560 9 8
561 9 8
562 9 8
563 9 8
564 9 8
565 9 8
566 9 8
567 9 8
568 9 8
569 9 8
570 10 9
571 10 9
572 10 9
573 10 9
574 10 9
575 10 9
576 18 17
577 18 17
578 18 17
579 18 17
580 13 12
581 13 12
582 13 12
583 13 12
584 13 12
585 13 12
586 13 12
587 13 12
588 13 12
589 13 12
590 15 14
591 14 13
592 14 13
593 14 13
594 14 13
595 14 13
596 14 13
597 9 8
598 9 8
599 9 8
600 9 8
601 9 8
602 9 8
603 9 8
604 9 8
605 9 8
606 10 9
607 10 9
608 10 9
609 10 9
610 10 9
611 10 9
612 10 9
613 18 17
614 18 17
615 18 17
616 18 17
617 18 17
618 18 17
619 18 17
620 18 17
621 13 12
622 13 12
623 13 12
624 13 12
625 13 12
626 13 12
627 13 12
628 13 12
629 13 12
630 14 13
631 14 13
632 14 13
633 14 13
634 14 13
635 14 13
636 14 13
637 14 13
638 14 13
639 9 8
640 9 8
641 9 8
642 9 8
643 9 8
644 9 8
645 9 8
646 10 9
647 10 9
648 10 9
649 10 9
650 10 9
651 10 9
652 18 17
653 18 17
654 18 17
655 18 17
656 18 17
657 18 17
658 18 17
659 18 17
660 18 17
661 18 17
662 13 12
663 13 12
664 13 12
665 13 12
666 13 12
667 13 12
668 13 12
669 13 12
670 13 12
671 13 12
672 13 12
673 14 13
674 14 13
675 14 13
676 14 13
677 14 13
678 14 13
679 14 13
680 14 13
681 14 13
682 14 13
683 14 13
684 14 13
685 9 8
686 9 8
687 9 8
688 9 8
689 9 8
690 10 9
691 10 9
692 10 9
693 10 9
694 10 9
695 10 9
696 10 9
697 18 17
698 18 17
699 18 17
700 18 17
701 18 17
702 18 17
703 18 17
704 18 17
705 18 17
706 18 17
707 13 12
708 13 12
709 13 12
710 13 12
711 13 12
712 13 12
713 13 12
714 13 12
715 14 13
716 14 13
717 14 13
718 14 13
719 14 13
720 14 13
721 14 13
722 14 13
723 14 13
724 14 13
725 14 13
726 14 13
727 14 13
728 14 13
729 14 13
730 9 8
731 9 8
732 10 9
733 10 9
734 10 9
735 10 9
736 10 9
737 10 9
738 10 9
739 18 17
740 18 17
741 18 17
742 18 17
743 18 17
744 18 17
745 18 17
746 18 17
747 13 12
748 13 12
749 13 12
750 13 12
751 13 12
752 17 16
753 17 16
754 17 16
755 17 16
756 14 13
757 14 13
758 14 13
759 14 13
760 14 13
761 14 13
762 14 13
763 14 13
764 14 13
765 14 13
766 14 13
767 14 13
768 14 13
769 14 13
770 14 13
771 14 13
772 14 13
773 14 13
774 10 9
775 10 9
776 10 9
777 10 9
778 10 9
779 10 9
780 10 9
781 10 9
782 18 17
783 18 17
784 18 17
785 18 17
786 18 17
787 18 17
788 18 17
789 18 17
790 18 17
791 18 17
792 18 17
793 17 16
794 17 16
795 17 16
796 17 16
797 17 16
798 17 16
799 17 16
800 17 16
801 17 16
