customer weight coord_x coord_y id_grid3km fid
1 5.0 4055258.107752728 2445495.70639876 14 248
2 398.0 4028042.2992126644 2444972.544270426 16 332
3 79.0 4031036.5694362307 2444698.6453660727 17 333
4 3.0 4034030.858563585 2444424.836082644 18 334
5 1.0 4037025.166408069 2444151.1164098503 19 335
6 2.0 4046008.2003767234 2443330.494948029 22 338
7 216.5 4030769.8395911627 2441713.592255691 30 426
8 40.0 4033764.136315139 2441439.796091648 31 427
9 7.0 4036758.451715873 2441166.0893940534 32 428
10 39.5 4039752.7856063503 2440892.4721523984 33 429
11 5.5 4042747.137799491 2440618.944355884 34 430
12 3.0 4048735.8963451134 2440072.1570535684 36 432
13 98.5 4051730.302323104 2439798.897524685 37 433
14 198.5 4054724.725854776 2439525.727394783 38 434
15 52.0 4057719.166752715 2439252.6466515814 39 435
16 89.0 4042480.4815607565 2437634.0180008425 46 523
17 52.5 4045474.8588271826 2437360.5922529725 47 524
18 2.0 4057452.5448852945 2436267.781933916 51 528
19 1.0 4042213.8688846147 2434649.167592327 57 616
20 679.5 4045208.2526334766 2434375.754530563 58 617
21 119.0 4048202.6542277853 2434102.430604447 59 618
22 165.5 4057185.964204483 2433282.9935229924 62 621
23 583.5 4047936.0971869603 2431117.6823179433 69 711
24 1204.5 4050930.5223633107 2430844.4599873326 70 712
25 47.0 4053924.9649674213 2430571.326626024 71 713
26 229.0 4056919.4248110126 2430298.2822219515 72 714
27 195.0 4059913.901705738 2430025.3267627605 73 715
28 140.0 4062908.3954631835 2429752.460235788 74 716
29 186.0 4050664.0135839153 2427859.8019402763 80 805
30 5093.5 4053658.4615960345 2427586.6809796016 81 806
31 500.5 4056652.926805509 2427313.6488335496 82 807
32 2.0 4038419.9107869635 2425968.54337286 87 894
33 185.5 4050397.5472414307 2424875.2224637987 91 898
34 6990.5 4053392.0001873146 2424602.113975835 92 899
35 706.0 4056386.4702884974 2424329.094160173 93 900
36 20.0 4059380.957356057 2424056.1630045893 94 901
37 151.5 4062375.461201005 2423783.320496572 95 902
38 151.5 4041147.8557895254 2422710.541488384 102 988
39 328.5 4044142.2607207154 2422437.1798844086 103 989
40 878.0 4050131.1234356877 2421890.72236005 105 991
41 632.0 4053125.5808413876 2421617.62641681 106 992
42 26.5 4062109.0549814473 2420798.8697196636 109 995
43 314.0 4040881.462413109 2419726.0828578076 126 1081
44 650.0 4043875.871454503 2419452.734296239 127 1082
45 339.5 4046870.29813537 2419179.474157647 128 1083
46 302.0 4049864.7422664147 2418906.302430806 129 1084
47 2.0 4052859.203658277 2418633.219104228 130 1085
48 33.5 4076815.493437076 2416451.7334245667 138 1093
49 3.0 4079810.101643908 2416179.445134728 139 1094
50 69.0 4010671.995990439 2419479.917183117 143 1164
51 55.0 4013666.222271035 2419205.6983735664 144 1165
52 10.0 4016660.468042361 2418931.5679406966 145 1166
53 80.0 4019654.7331154775 2418657.52587627 146 1167
54 36.0 4040615.113193269 2416741.704989219 153 1174
55 25.0 4043609.5258713067 2416468.369541097 154 1175
56 1475.5 4046603.9561478226 2416195.1223742235 155 1176
57 72.5 4049598.403833237 2415921.9634774714 156 1177
58 2.0 4055587.350672105 2415375.910448281 158 1179
59 110.0 4061576.3648699312 2414830.2103585713 160 1181
60 203.5 4073554.589265134 2413739.8685944905 164 1185
61 233.5 4076549.1850884296 2413467.5035793786 165 1186
62 157.0 4004417.2566436534 2417044.154389508 168 1255
63 210.5 4007411.447008377 2416769.773689848 169 1256
64 50.0 4010405.657204037 2416495.481240228 170 1257
65 811.0 4046337.6574690235 2413210.8522962257 182 1269
66 140.0 4049332.108235676 2412937.7063010605 183 1270
67 190.5 4061310.0811794777 2411846.0033761878 187 1274
68 19.0 4064304.6159342257 2411573.2978484505 188 1275
69 215.5 4067299.1669160547 2411300.6803769153 189 1276
70 26.0 4070293.7339346274 2411028.1509484616 190 1277
71 96.5 4073288.3167995363 2410755.7095497088 191 1278
72 67.5 4079277.5293063885 2410211.090786236 193 1280
73 11.0 4082272.158567169 2409938.913393284 194 1281
74 126.5 4001156.787124567 2414334.2242108793 195 1347
75 317.5 4004150.9606648707 2414059.770350242 196 1348
76 151.0 4007145.154188014 2413785.404604927 197 1349
77 2.0 4013133.600425444 2413236.937431077 199 1351
78 5.0 4043076.9661495835 2410499.885734154 209 1361
79 114.0 4046071.4021980967 2410226.6647243537 210 1362
80 920.5 4049065.8555731503 2409953.531702211 211 1363
81 2.0 4052060.3260845244 2409680.4866564153 212 1364
82 2.0 4055054.8135419353 2409407.5295753814 213 1365
83 50.0 4064038.375686533 2408589.1860006275 216 1368
84 155.0 4070027.498354866 2408044.063215773 218 1370
85 4.0 4073022.0834887447 2407771.6336637363 219 1371
86 66.0 3994902.246623799 2411899.048686392 225 1438
87 10.0 4000890.538553064 2411349.907344308 227 1440
88 196.0 4003884.7148154215 2411075.4686472635 228 1441
89 285.5 4006878.9110235423 2410801.1179238195 229 1442
90 75.0 4009873.12698781 2410526.855166801 230 1443
91 34.0 4021850.184611893 2409430.683649552 234 1447
92 17.0 4024844.496510513 2409156.860607026 235 1448
93 6.0 4036821.9283757764 2408062.447516734 239 1452
94 1.0 4042810.7522086124 2407515.768283559 241 1454
95 7.0 4045805.1904340633 2407242.5604589493 242 1455
96 171.0 4048799.645944976 2406969.440481171 243 1456
97 37.0 4051794.1185508454 2406696.408338986 244 1457
98 1.0 4057783.1142851114 2406150.6075150333 246 1459
99 6.0 4060777.637032168 2405877.838809361 247 1460
100 23.0 4063772.176111501 2405605.157891459 248 1461
101 71.5 4069761.3025035737 2405060.0593679906 250 1463
102 141.5 4072755.88943443 2404787.641736199 251 1464
103 90.5 3994636.044142025 2408914.784003781 259 1531
104 112.0 3997630.1822662703 2408640.184853078 260 1532
105 122.5 4003618.519190089 2408091.250081569 262 1534
106 232.0 4006612.7176100384 2407816.9144474277 263 1535
107 77.0 4009606.9357488328 2407542.6666383273 264 1536
108 73.5 4012601.173416509 2407268.5066468716 265 1537
109 29.0 4024578.31557463 2406172.744699428 269 1541
110 238.0 4027572.648035122 2405899.023675113 270 1542
111 6.0 4030566.998883422 2405625.390417975 271 1543
112 9.0 4033561.367929131 2405351.8449185938 272 1544
113 115.0 4048533.4794503655 2403985.433437816 277 1549
114 510.0 4051527.95367855 2403712.414270787 278 1550
115 199.0 4054522.4447695427 2403439.482787427 279 1551
116 4.0 4066500.573942156 2402348.633451408 283 1555
117 5.0 4069495.146482024 2402076.140204435 284 1556
118 79.5 4072489.734738161 2401803.734566342 285 1557
119 18.0 3991375.7738667284 2406205.2743392023 288 1623
120 217.5 3994369.893397966 2405930.603058581 289 1624
121 97.0 3997364.033371197 2405656.0194882858 290 1625
122 158.0 4000358.1935964143 2405381.5236221654 291 1626
123 100.0 4003352.3738835505 2405107.115453749 292 1627
124 207.5 4006346.5740424776 2404832.7949762903 293 1628
125 1775.5 4009340.793883009 2404558.5621827496 294 1629
126 306.5 4012335.033214896 2404284.4170657992 295 1630
127 377.5 4015329.291847829 2404010.359617812 296 1631
128 76.0 4018323.5695914375 2403736.389830876 297 1632
129 576.0 4021317.866255289 2403462.5076967855 298 1633
130 102.0 4024312.1816488886 2403188.713207063 299 1634
131 194.0 4027306.51558168 2402915.0063529154 300 1635
132 172.5 4030300.867863042 2402641.3871252756 301 1636
133 80.0 4048267.356188428 2401001.511371625 307 1642
134 890.5 4051261.8315670444 2400728.5052512307 308 1643
135 2398.5 4054256.3237669533 2400455.586674349 309 1644
136 100.0 4057250.8325969516 2400182.7556293155 310 1645
137 8.0 4060245.3578657676 2399910.012104165 311 1646
138 140.0 4063239.899382061 2399637.356086646 312 1647
139 98.0 4066234.456954426 2399364.787564221 313 1648
140 61.0 3991109.673541786 2403221.162143841 319 1716
141 26.0 3997097.9358347887 2402671.938727807 321 1718
142 11.0 4000092.0973999314 2402397.4583675433 322 1719
143 233.0 4009074.7014855067 2401574.5426001423 325 1722
144 746.5 4012068.9420091715 2401300.41242554 326 1723
145 517.0 4015063.2017961335 2401026.3697791826 327 1724
146 771.5 4018057.4806557368 2400752.414653222 328 1725
147 156.5 4021051.7783972635 2400478.5470395084 329 1726
148 6.0 4027040.4297629087 2399931.074314867 331 1728
149 2.0 4042012.3752484256 2398563.923342397 336 1733
150 94.0 4045006.8171719857 2398290.7554990584 337 1734
151 380.0 4048001.2762581715 2398017.6750817117 338 1735
152 137.0 4050995.752315627 2397744.6820793306 339 1736
153 281.5 4053990.245152931 2397471.7764806054 340 1737
154 2.0 4056984.754578595 2397198.958273922 341 1738
155 2.0 3975873.328413625 2401611.645030478 349 1804
156 12.0 3978867.345590408 2401336.5681693 350 1805
157 29.0 3990843.6256143353 2400237.1352202306 354 1809
158 202.5 4008808.658651391 2398590.6086901925 360 1815
159 141.0 4011802.899894698 2398316.4935257165 361 1816
160 292.0 4014797.1603636146 2398042.465749038 362 1817
161 754.0 4017791.4398672003 2397768.5253523644 363 1818
162 28.0 4020785.738214454 2397494.67232763 364 1819
163 20.5 4029768.744407273 2396673.6373999626 367 1822
164 164.0 4041746.3382106624 2395580.1468297374 371 1826
165 974.0 4044740.780423673 2395306.9924551374 372 1827
166 32.0 4047735.239758498 2395033.9253667914 373 1828
167 86.0 4053724.209026969 2394488.0530047584 375 1830
168 197.0 4056718.7185771377 2394215.247708284 376 1831
169 13.0 4068696.9184070225 2393124.898806651 380 1835
170 105.0 3978601.3479298325 2398352.5622297153 384 1898
171 10.0 3981595.387037016 2398077.589305823 385 1899
172 1.0 3990577.630177562 2397253.1943680793 388 1902
173 23.0 3993571.752528449 2396978.570649758 389 1903
174 49.0 4002554.240821956 2396155.2231977964 392 1906
175 26.0 4005548.443363666 2395880.9485939 393 1907
176 135.5 4008542.6654756255 2395606.761252201 394 1908
177 264.5 4011536.9069667333 2395332.66116555 395 1909
178 111.0 4014531.1676458255 2395058.648326522 396 1910
179 59.5 4017525.4473216785 2394784.722727391 397 1911
180 8.0 4020519.745803006 2394510.884360153 398 1912
181 65.5 4029502.752166048 2393689.8925653067 401 1915
182 82.5 4032497.1239551725 2393416.4030397297 402 1916
183 188.0 4041480.345644486 2392596.457548752 405 1919
184 431.0 4044474.7876758124 2392323.316713571 406 1920
185 239.5 4056452.724692264 2391231.624730503 410 1924
186 1.0 4068430.922715119 2390141.3263655934 414 1928
187 28.0 3975341.3867508704 2395643.6864485927 417 1990
188 36.0 3978335.4047412463 2395368.642899698 418 1991
189 9.0 3981329.443984689 2395093.686523694 419 1992
190 9.0 3987317.585467286 2394544.0352721293 421 1994
191 43.0 3990311.6873245523 2394269.340386754 422 1995
192 258.0 3993305.8096711086 2393994.732654614 423 1996
193 441.5 3999294.115067678 2393445.7786272075 425 1998
194 74.5 4002288.2977353367 2393171.4323198027 426 1999
195 54.0 4005282.5001275763 2392897.17314136 427 2000
196 5775.5 4008276.7220530706 2392623.0010850825 428 2001
197 5233.5 4011270.963320434 2392348.9161438923 429 2002
198 262.5 4014265.223738219 2392074.9183104234 430 2003
199 1534.0 4017259.503114918 2391801.007577005 431 2004
200 986.0 4020253.8012589617 2391527.1839357074 432 2005
201 503.0 4023248.1179787186 2391253.447378278 433 2006
202 207.5 4026242.453082495 2390979.797896192 434 2007
203 2.0 4029236.8063785355 2390706.2354806555 435 2008
204 74.0 4032231.177675021 2390432.760122549 436 2009
205 171.5 4035225.5667800694 2390159.371812497 437 2010
206 184.0 4038219.9735017335 2389886.0705408035 438 2011
207 5587.5 4041214.3976480043 2389612.8562975265 439 2012
208 451.0 4044208.839026807 2389339.729072402 440 2013
209 31.5 4047203.297446001 2389066.6888548853 441 2014
210 39.0 4050197.772713382 2388793.7356341593 442 2015
211 2.0 4053192.2646366786 2388520.869399094 443 2016
212 19.0 4056186.7730235546 2388248.0901383 444 2017
213 7.0 4059181.2976816064 2387975.397840073 445 2018
214 66.0 3972081.502147888 2392934.9516069395 450 2082
215 64.0 3975075.49842728 2392659.8377743587 451 2083
216 3.0 3978069.516116447 2392384.810978487 452 2084
217 256.5 3981063.555024302 2392109.871215202 453 2085
218 19.0 3984057.614959703 2391835.0184800713 454 2086
219 4.0 3987051.6957314503 2391560.252768406 455 2087
220 478.5 3990045.797148288 2391285.5740752025 456 2088
221 180.0 3993039.919018901 2391010.9823951665 457 2089
222 359.5 3996034.061151916 2390736.4777227268 458 2090
223 942.0 3999028.223355902 2390462.060052025 459 2091
224 414.0 4002022.4054393684 2390187.729376908 460 2092
225 2663.5 4005016.6072107656 2389913.4856909364 461 2093
226 20952.0 4008010.8284784835 2389639.3289873702 462 2094
227 423.5 4011005.069050853 2389365.259259195 463 2095
228 484.5 4013999.328736143 2389091.276499111 464 2096
229 162.0 4016993.607342563 2388817.3806995116 465 2097
230 119.0 4019987.9046782604 2388543.571852525 466 2098
231 1903.5 4022982.2205513204 2388269.8499499667 467 2099
232 621.5 4025976.5547697665 2387996.2149833813 468 2100
233 315.0 4028970.90714156 2387722.6669440176 469 2101
234 318.5 4031965.2774746 2387449.20582285 470 2102
235 795.5 4034959.6655767197 2387175.831610541 471 2103
236 369.0 4037954.0712556913 2386902.5442974856 472 2104
237 1360.5 4040948.494319223 2386629.3438737863 473 2105
238 162.0 4043942.9345749556 2386356.230329249 474 2106
239 34.0 4049931.8658932745 2385810.2638355065 476 2108
240 38.0 4052926.3565708203 2385537.4108644794 477 2109
241 7.0 4058915.38699959 2384991.9654174456 479 2111
242 72.0 4061909.9263653765 2384719.3729179045 480 2112
243 46.5 4064904.481575028 2384446.8672181806 481 2113
244 22.0 3974809.665230781 2389676.0772432797 483 2176
245 156.0 3977803.6821471294 2389401.067264919 484 2177
246 542.5 3980797.720247845 2389126.144179114 485 2178
247 182.0 3983791.779341502 2388851.307981501 486 2179
248 2313.5 3986785.859236617 2388576.5586674334 487 2180
249 469.5 3989779.95974165 2388301.89623198 488 2181
250 13.0 3992774.080665002 2388027.320669907 489 2182
251 50.5 3995768.221815017 2387752.8319757055 490 2183
252 46.0 3998762.3829999794 2387478.4301435687 491 2184
253 835.0 4001756.5640281164 2387204.1151674087 492 2185
254 1775.5 4004750.764707594 2386929.8870408433 493 2186
255 1875.0 4007744.9848465202 2386655.7457571984 494 2187
256 264.5 4010739.2242529416 2386381.691309533 495 2188
257 148.0 4013733.482734845 2386107.7236905913 496 2189
258 199.0 4016727.760100156 2385833.842892838 497 2190
259 68.0 4022716.370712399 2385286.341729342 499 2192
260 39.0 4025710.703574874 2385012.721347091 500 2193
261 45.0 4028705.0545518445 2384739.187753027 501 2194
262 192.0 4031699.4234509263 2384465.7409381783 502 2195
263 35.0 4034693.810079671 2384192.3808932747 503 2196
264 262.5 4037688.214245568 2383919.1076087793 504 2197
265 59.0 4040682.635756043 2383645.921074856 505 2198
266 43.5 4043677.0744184563 2383372.8212813865 506 2199
267 345.5 4046671.530040104 2383099.808217955 507 2200
268 39.0 4061644.055787645 2381736.043467126 512 2205
269 57.0 3977537.9029248864 2386417.412557452 517 2270
270 248.5 3980531.9397472083 2386142.506213826 518 2271
271 40.0 3983525.997527924 2385867.6866186922 519 2272
272 76.5 3986520.076075268 2385592.953767477 520 2273
273 98.0 3989514.1751974155 2385318.307655281 521 2274
274 5.0 3992508.2947024857 2385043.7482769564 522 2275
275 71.0 3998496.594093576 2384494.889699799 524 2277
276 272.0 4001490.7735955412 2384220.5904891924 525 2278
