customer weight coord_x coord_y id_grid5km fid x_LAMB93 y_LAMB93
1 9.0 3859533.886436741 2284448.02565863 0 51 805294.6880425913 6268847.520973995
2 112.0 3863163.4464930035 2284172.9068417875 1 119 808927.6171847446 6268908.448393832
3 9.0 3862907.6775098583 2280569.8083928735 2 120 808989.376371558 6265287.349988854
4 81.0 3867046.895480905 2287501.326508147 3 186 812496.7280570522 6272590.466899115
5 275.0 3866793.1929584406 2283899.9628205085 4 187 812560.5110821704 6268971.442301799
6 435.5 3866539.454011817 2280296.7433784697 5 188 812624.3300273691 6265350.3796127625
7 70.0 3870926.4334927956 2290830.30487284 6 253 816061.7224111009 6276272.44120027
8 13.0 3870674.79708294 2287230.6773964143 7 254 816127.5269558621 6272655.490408014
9 31.0 3870423.1243511913 2283629.193650924 8 255 816193.368559406 6269036.502677512
10 1775.0 3870171.41548966 2280025.854182249 9 256 816259.2472423406 6265415.476876053
11 384.5 3875301.091492338 2301350.0457820706 10 318 819487.0695996926 6287178.020112675
12 107.0 3875051.593843763 2297755.871139296 11 319 819554.8170180063 6283567.2112974385
13 173.0 3874802.0595994466 2294159.8386413683 12 320 819622.6025900715 6279954.368959656
14 89.5 3874552.4889489603 2290561.9488237323 13 321 819690.4263371048 6276339.491968533
15 5.0 3874302.882082206 2286962.20222535 14 322 819758.2882803343 6272722.579192644
16 71.0 3878921.2418335346 2301084.217408897 15 386 823109.569614422 6287247.017536975
17 30.0 3878673.772879341 2297489.924520336 16 387 823179.3709371845 6283636.247842269
18 31.0 3878426.2676298236 2293893.7738067163 17 388 823249.2115704094 6280023.444647048
19 8.0 3878178.7262730156 2290295.7658036365 18 389 823319.091535956 6276408.606820528
20 1555.0 3882541.5724186627 2300820.559217449 19 454 826732.0297956974 6287318.07551576
21 364.0 3882296.1322065615 2297226.149050722 20 455 826803.8850003239 6283707.346109887
22 52.0 3882050.6559994915 2293629.881088786 21 456 826875.7806721106 6280094.583226188
23 14.0 3881805.143983947 2290031.755867394 22 457 826947.7168335603 6276479.785733894
24 1.0 3880331.330397377 2268404.0325373225 23 463 827380.1853469347 6254748.210596474
25 32027.5 3886162.081767908 2300559.0712622134 24 522 830354.4489714319 6287391.194026038
26 526.0 3885918.670345217 2296964.5447849096 25 523 830428.3580346728 6283780.506077288
27 175.0 3885675.2232278488 2293368.1605420015 26 524 830502.3087217587 6280167.784674061
28 59.0 3885431.7406007596 2289769.9190693977 27 525 830576.3010558357 6276553.028685601
29 5.0 3884944.669558853 2282567.8665963407 28 527 830724.4107576117 6269317.408426788
30 1.0 3884701.0815155595 2278964.056685349 29 528 830798.5281716681 6265696.541891741
31 1803.5 3894602.707662793 2371801.670898788 30 570 832466.5154019219 6359253.994838635
32 1086.0 3894362.070990788 2368244.2909848327 31 571 832541.6276647376 6355683.781644932
33 2342.5 3894121.395323096 2364685.0433470276 32 572 832616.7822350822 6352111.557502654
34 305.5 3891230.3104051687 2321828.5624821084 33 584 833521.9456422374 6309087.606185793
35 396.0 3890989.1440193467 2318245.0781395203 34 585 833597.6523559053 6305489.137735279
36 12793.5 3890747.9411452888 2314659.7329181437 35 586 833673.4017076349 6301888.642625406
37 268.0 3890506.7019644943 2311072.527332985 36 587 833749.1937211353 6298286.11972924
38 258.0 3890265.4266587826 2307483.4619025327 37 588 833825.0284201289 6294681.567919216
