location capacity coord_x coord_y id_loc fid
1 30549.053230079426 478861.72591274 5390061.79565943 1 51
2 19344.665454661208 483861.72591274 5390061.79565943 3 119
3 5256.61920641185 483861.72591274 5385061.79565943 4 120
4 27858.575544974778 488861.72591274 5395061.79565943 5 186
5 22826.834631905826 488861.72591274 5390061.79565943 6 187
6 31159.962990966764 488861.72591274 5385061.79565943 7 188
7 38875.41960080255 493861.72591274 5400061.79565943 8 253
8 6128.958568791443 493861.72591274 5395061.79565943 9 254
9 16992.688290554946 493861.72591274 5390061.79565943 10 255
10 9560.5421242868 493861.72591274 5385061.79565943 11 256
11 4731.475811567622 498861.72591274 5415061.79565943 12 318
12 11951.685479927712 498861.72591274 5410061.79565943 13 319
13 25280.69607690949 498861.72591274 5405061.79565943 14 320
14 16657.819543176236 498861.72591274 5400061.79565943 15 321
15 1770.3122550615594 498861.72591274 5395061.79565943 16 322
16 5719.032550822265 503861.72591274 5415061.79565943 19 386
17 30490.85155440968 503861.72591274 5410061.79565943 20 387
18 89670.93064221524 503861.72591274 5405061.79565943 21 388
19 3400.4736315215705 503861.72591274 5400061.79565943 22 389
20 14300.117204759055 508861.72591274 5415061.79565943 26 454
21 16051.30227043724 508861.72591274 5410061.79565943 27 455
22 29231.667388398484 508861.72591274 5405061.79565943 28 456
23 21377.16921293609 508861.72591274 5400061.79565943 29 457
24 16843.476814796533 508861.72591274 5370061.79565943 34 463
25 6175.103959773213 513861.72591274 5415061.79565943 35 522
26 88612.26718316149 513861.72591274 5410061.79565943 36 523
27 92421.61732377016 513861.72591274 5405061.79565943 37 524
28 29631.200654151704 513861.72591274 5400061.79565943 38 525
29 6529.272186206747 513861.72591274 5390061.79565943 40 527
30 10645.832974739344 513861.72591274 5385061.79565943 41 528
31 8927.8457456233 518861.72591274 5515061.79565943 45 570
32 43471.48867401949 518861.72591274 5510061.79565943 46 571
33 17563.628464161153 518861.72591274 5505061.79565943 47 572
34 25822.40023068576 518861.72591274 5445061.79565943 48 584
35 31700.26888947342 518861.72591274 5440061.79565943 49 585
36 38441.84579423396 518861.72591274 5435061.79565943 50 586
37 26244.54923743217 518861.72591274 5430061.79565943 51 587
38 23493.090527205244 518861.72591274 5425061.79565943 52 588
39 34474.11546822846 518861.72591274 5420061.79565943 53 589
40 3979.602340822968 518861.72591274 5415061.79565943 54 590
41 51954.43686516312 518861.72591274 5410061.79565943 55 591
42 2314.782632862873 518861.72591274 5405061.79565943 56 592
43 10641.15433349444 518861.72591274 5400061.79565943 57 593
44 20582.64906036247 518861.72591274 5395061.79565943 58 594
45 47146.12332223413 518861.72591274 5390061.79565943 59 595
46 22991.443300244147 518861.72591274 5380061.79565943 61 597
47 49980.58357896776 518861.72591274 5375061.79565943 62 598
48 47832.94113165455 523861.72591274 5515061.79565943 64 638
49 13898.749433871855 523861.72591274 5510061.79565943 65 639
50 3725.70939891811 523861.72591274 5505061.79565943 66 640
51 20546.14318471657 523861.72591274 5500061.79565943 67 641
52 16477.567388731364 523861.72591274 5445061.79565943 68 652
53 71877.07476800043 523861.72591274 5440061.79565943 69 653
54 24337.86831481565 523861.72591274 5435061.79565943 70 654
55 2741.9318182472343 523861.72591274 5430061.79565943 71 655
56 5422.964199631043 523861.72591274 5425061.79565943 72 656
57 89662.1159518653 523861.72591274 5420061.79565943 73 657
58 28026.756159078228 523861.72591274 5415061.79565943 74 658
59 38055.30406608342 523861.72591274 5410061.79565943 75 659
60 49282.49045431073 523861.72591274 5405061.79565943 76 660
61 60636.243274845125 523861.72591274 5400061.79565943 77 661
62 3794.468529248029 523861.72591274 5395061.79565943 78 662
63 13884.961637703782 523861.72591274 5390061.79565943 79 663
64 59510.86725048308 523861.72591274 5385061.79565943 80 664
65 16546.839352912575 523861.72591274 5380061.79565943 81 665
66 7360.714332917272 523861.72591274 5375061.79565943 82 666
67 11036.805399023302 528861.72591274 5515061.79565943 84 706
68 74229.32723331974 528861.72591274 5510061.79565943 85 707
69 22666.00017821437 528861.72591274 5505061.79565943 86 708
70 31219.547851844203 528861.72591274 5500061.79565943 87 709
71 71956.3226340197 528861.72591274 5495061.79565943 88 710
72 9867.632736904585 528861.72591274 5490061.79565943 89 711
73 1465.949231726419 528861.72591274 5485061.79565943 90 712
74 16290.061521672453 528861.72591274 5480061.79565943 91 713
75 9160.0909122087 528861.72591274 5450061.79565943 92 719
76 71567.40090761079 528861.72591274 5445061.79565943 93 720
77 15869.127767489608 528861.72591274 5440061.79565943 94 721
78 103472.3542490164 528861.72591274 5435061.79565943 95 722
79 24531.001229605637 528861.72591274 5430061.79565943 96 723
80 23467.9222243816 528861.72591274 5425061.79565943 97 724
81 20415.51244213902 528861.72591274 5420061.79565943 98 725
82 17343.350785489634 528861.72591274 5415061.79565943 99 726
83 26876.00310362485 528861.72591274 5410061.79565943 100 727
84 6228.063504581601 528861.72591274 5405061.79565943 101 728
85 19097.522452731708 528861.72591274 5400061.79565943 102 729
86 819.9176083263787 528861.72591274 5395061.79565943 103 730
87 7500.363943139494 528861.72591274 5390061.79565943 104 731
88 5841.316222941256 528861.72591274 5385061.79565943 105 732
89 12600.084437222382 528861.72591274 5380061.79565943 106 733
90 68319.88656001272 528861.72591274 5375061.79565943 107 734
91 3903.362897594491 533861.72591274 5510061.79565943 109 775
92 91865.05132496174 533861.72591274 5505061.79565943 110 776
93 21296.38825546537 533861.72591274 5500061.79565943 111 777
94 49787.198949639846 533861.72591274 5495061.79565943 112 778
95 7989.094269281415 533861.72591274 5490061.79565943 113 779
96 28846.4298263194 533861.72591274 5485061.79565943 114 780
97 84092.0337385961 533861.72591274 5480061.79565943 115 781
98 11405.8042377927 533861.72591274 5475061.79565943 116 782
99 28843.072289146738 533861.72591274 5455061.79565943 117 786
100 56937.6071722464 533861.72591274 5450061.79565943 118 787
101 2969.804869946426 533861.72591274 5445061.79565943 119 788
102 28889.026182387413 533861.72591274 5440061.79565943 120 789
103 584.7016859302084 533861.72591274 5435061.79565943 121 790
104 21408.34190292534 533861.72591274 5430061.79565943 122 791
105 5409.812721192745 533861.72591274 5425061.79565943 123 792
106 22311.979803688577 533861.72591274 5420061.79565943 124 793
107 7429.505335167991 533861.72591274 5415061.79565943 125 794
108 7842.59455903816 533861.72591274 5410061.79565943 126 795
109 24049.536862724188 533861.72591274 5405061.79565943 127 796
110 27319.044573023508 533861.72591274 5400061.79565943 128 797
111 18378.762286313384 533861.72591274 5395061.79565943 129 798
112 11994.776061848306 533861.72591274 5385061.79565943 131 800
113 8057.116794325362 533861.72591274 5375061.79565943 133 802
114 76453.77094615444 533861.72591274 5370061.79565943 134 803
115 52203.96545553849 538861.72591274 5500061.79565943 136 845
116 48114.3270703286 538861.72591274 5495061.79565943 137 846
117 15966.671116401634 538861.72591274 5490061.79565943 138 847
118 23284.472039466564 538861.72591274 5485061.79565943 139 848
119 1065.870221260877 538861.72591274 5480061.79565943 140 849
120 5928.653638536976 538861.72591274 5475061.79565943 141 850
121 94302.54932025351 538861.72591274 5470061.79565943 142 851
122 75723.72273084967 538861.72591274 5460061.79565943 143 853
123 29836.29524549191 538861.72591274 5455061.79565943 144 854
124 31056.369608956207 538861.72591274 5450061.79565943 145 855
125 91090.737725922 538861.72591274 5445061.79565943 146 856
126 12547.966271393432 538861.72591274 5440061.79565943 147 857
127 42203.83296730163 538861.72591274 5435061.79565943 148 858
128 18012.534258494466 538861.72591274 5430061.79565943 149 859
129 86094.76589705901 538861.72591274 5425061.79565943 150 860
130 3384.700220150971 538861.72591274 5420061.79565943 151 861
131 31801.05781187824 538861.72591274 5415061.79565943 152 862
132 16788.15218426734 538861.72591274 5410061.79565943 153 863
133 55693.005721198206 538861.72591274 5405061.79565943 154 864
134 22648.977463340143 538861.72591274 5385061.79565943 158 868
135 9635.73659882406 538861.72591274 5370061.79565943 161 871
136 57899.94485370173 538861.72591274 5365061.79565943 162 872
137 61182.02852944123 543861.72591274 5505061.79565943 163 912
138 16253.05698819694 543861.72591274 5500061.79565943 164 913
139 52803.09207536084 543861.72591274 5495061.79565943 165 914
140 25618.579180405577 543861.72591274 5490061.79565943 166 915
141 42874.49866389424 543861.72591274 5485061.79565943 167 916
142 3283.0316245995605 543861.72591274 5480061.79565943 168 917
143 1435.884428945595 543861.72591274 5475061.79565943 169 918
144 17561.99108634945 543861.72591274 5470061.79565943 170 919
145 19095.623017565107 543861.72591274 5465061.79565943 171 920
146 1480.6285158569983 543861.72591274 5460061.79565943 172 921
147 43580.883277298286 543861.72591274 5455061.79565943 173 922
148 16912.70509720018 543861.72591274 5450061.79565943 174 923
