location subarea FID
1 1 1
2 1 1
3 1 1
4 2 2
5 1 1
6 1 1
7 2 2
8 2 2
9 1 1
10 1 1
11 2 2
12 2 2
13 2 2
14 2 2
15 2 2
16 2 2
17 2 2
18 2 2
19 2 2
20 2 2
21 2 2
22 2 2
23 2 2
24 1 1
25 4 4
26 4 4
27 4 4
28 4 4
29 3 3
30 3 3
31 6 6
32 6 6
33 6 6
34 5 5
35 5 5
36 5 5
37 4 4
38 4 4
39 4 4
40 4 4
41 4 4
42 4 4
43 4 4
44 4 4
45 3 3
46 3 3
47 3 3
48 6 6
49 6 6
50 6 6
51 6 6
52 5 5
53 5 5
54 5 5
55 4 4
56 4 4
57 4 4
58 4 4
59 4 4
60 4 4
61 4 4
62 4 4
63 3 3
64 3 3
65 3 3
66 3 3
67 6 6
68 6 6
69 6 6
70 6 6
71 6 6
72 6 6
73 6 6
74 6 6
75 5 5
76 5 5
77 5 5
78 5 5
79 4 4
80 4 4
81 4 4
82 4 4
83 4 4
84 4 4
85 4 4
86 4 4
87 3 3
88 3 3
89 3 3
90 3 3
91 6 6
92 6 6
93 6 6
94 6 6
95 6 6
96 6 6
97 6 6
98 5 5
99 5 5
100 5 5
101 5 5
102 5 5
103 5 5
104 4 4
105 4 4
106 4 4
107 4 4
108 4 4
109 4 4
110 4 4
111 4 4
112 3 3
113 3 3
114 3 3
115 6 6
116 6 6
117 6 6
118 6 6
119 6 6
120 5 5
121 5 5
122 5 5
123 5 5
124 5 5
125 5 5
126 5 5
127 5 5
128 4 4
129 4 4
130 4 4
131 4 4
132 4 4
133 4 4
134 3 3
135 3 3
136 3 3
137 6 6
138 6 6
139 6 6
140 6 6
141 6 6
142 6 6
143 5 5
144 5 5
145 5 5
146 5 5
147 5 5
148 5 5
149 5 5
150 5 5
151 5 5
152 4 4
153 4 4
154 4 4
155 4 4
156 4 4
157 4 4
158 4 4
159 4 4
160 3 3
161 3 3
162 6 6
163 6 6
164 6 6
165 6 6
166 6 6
167 6 6
168 5 5
169 5 5
170 5 5
171 5 5
172 5 5
173 5 5
174 5 5
175 5 5
176 5 5
177 4 4
178 4 4
179 4 4
180 4 4
181 4 4
182 4 4
183 4 4
184 4 4
185 3 3
186 3 3
187 3 3
188 11 11
189 11 11
190 11 11
191 11 11
192 11 11
193 11 11
194 10 10
195 10 10
196 10 10
197 10 10
198 10 10
199 10 10
200 10 10
201 10 10
202 10 10
203 9 9
204 9 9
205 9 9
206 9 9
207 9 9
208 9 9
209 9 9
210 9 9
211 8 8
212 8 8
213 8 8
214 8 8
215 11 11
216 11 11
217 11 11
218 11 11
219 11 11
220 11 11
221 11 11
222 10 10
223 10 10
224 10 10
225 10 10
226 10 10
227 10 10
228 10 10
229 10 10
230 10 10
231 9 9
232 9 9
233 9 9
234 9 9
235 9 9
236 9 9
237 8 8
238 8 8
239 8 8
240 11 11
241 11 11
242 11 11
243 11 11
244 11 11
245 11 11
246 11 11
247 10 10
248 10 10
249 10 10
250 10 10
251 10 10
252 10 10
253 10 10
254 10 10
255 10 10
256 9 9
257 9 9
258 9 9
259 9 9
260 9 9
261 9 9
262 9 9
263 9 9
264 8 8
265 8 8
266 11 11
267 11 11
268 11 11
269 11 11
270 11 11
271 11 11
272 10 10
273 10 10
274 10 10
275 10 10
276 10 10
277 10 10
278 10 10
279 10 10
280 10 10
281 9 9
282 9 9
283 9 9
284 9 9
285 9 9
286 9 9
287 9 9
288 9 9
289 8 8
290 8 8
291 11 11
292 11 11
293 11 11
294 11 11
295 11 11
296 11 11
297 11 11
298 10 10
299 10 10
300 10 10
301 10 10
302 10 10
303 10 10
304 10 10
305 10 10
306 9 9
307 9 9
308 9 9
309 9 9
310 9 9
311 9 9
312 9 9
313 9 9
314 8 8
315 8 8
316 8 8
317 8 8
318 11 11
319 11 11
320 11 11
321 10 10
322 10 10
323 10 10
324 10 10
325 10 10
326 10 10
327 10 10
328 10 10
329 10 10
330 9 9
331 9 9
332 9 9
333 9 9
334 9 9
335 9 9
336 9 9
337 9 9
338 8 8
339 8 8
340 8 8
341 8 8
342 11 11
343 11 11
