customer weight coord_x coord_y id_grid5km fid
1 11.0 3859533.886436741 2284448.02565863 0 51
2 112.0 3863163.4464930035 2284172.9068417875 2 119
3 9.0 3862907.6775098583 2280569.8083928735 3 120
4 81.0 3867046.895480905 2287501.326508147 4 186
5 275.0 3866793.1929584406 2283899.9628205085 5 187
6 435.5 3866539.454011817 2280296.7433784697 6 188
7 70.0 3870926.4334927956 2290830.30487284 7 253
8 13.0 3870674.79708294 2287230.6773964143 8 254
9 31.0 3870423.1243511913 2283629.193650924 9 255
10 1775.0 3870171.41548966 2280025.854182249 10 256
11 384.5 3875301.091492338 2301350.0457820706 11 318
12 97.0 3875051.593843763 2297755.871139296 12 319
13 173.0 3874802.0595994466 2294159.8386413683 13 320
14 89.5 3874552.4889489603 2290561.9488237323 14 321
15 5.0 3874302.882082206 2286962.20222535 15 322
16 71.0 3878921.2418335346 2301084.217408897 18 386
17 30.0 3878673.772879341 2297489.924520336 19 387
18 31.0 3878426.2676298236 2293893.7738067163 20 388
19 8.0 3878178.7262730156 2290295.7658036365 21 389
20 1555.0 3882541.5724186627 2300820.559217449 25 454
21 364.0 3882296.1322065615 2297226.149050722 26 455
22 52.0 3882050.6559994915 2293629.881088786 27 456
23 14.0 3881805.143983947 2290031.755867394 28 457
24 1.0 3880331.330397377 2268404.0325373225 33 463
25 33370.5 3886162.081767908 2300559.0712622134 34 522
26 526.0 3885918.670345217 2296964.5447849096 35 523
27 175.0 3885675.2232278488 2293368.1605420015 36 524
28 59.0 3885431.7406007596 2289769.9190693977 37 525
29 5.0 3884944.669558853 2282567.8665963407 39 527
30 1.0 3884701.0815155595 2278964.056685349 40 528
31 1803.5 3894602.707662793 2371801.670898788 44 570
32 1086.0 3894362.070990788 2368244.2909848327 45 571
33 2342.5 3894121.395323096 2364685.0433470276 46 572
34 305.5 3891230.3104051687 2321828.5624821084 47 584
35 396.0 3890989.1440193467 2318245.0781395203 48 585
36 12793.5 3890747.9411452888 2314659.7329181437 49 586
37 268.0 3890506.7019644943 2311072.527332985 50 587
38 258.0 3890265.4266587826 2307483.4619025327 51 588
39 1769.0 3890024.1154102907 2303892.5371487755 52 589
40 6385.0 3889782.7684014766 2300299.7535972293 53 590
41 1725.5 3889541.385815119 2296705.111776903 54 591
42 27.0 3889299.967834314 2293108.6122203358 55 592
43 47.0 3889058.514642479 2289510.255463587 56 593
44 23.0 3888817.0264233514 2285910.0420462377 57 594
45 8.0 3888575.5033609867 2282307.9725113977 58 595
46 13.5 3888092.353444375 2275098.2672794075 60 597
47 7.0 3887850.7269598404 2271490.6326861847 61 598
48 895.5 3898183.0578252263 2371546.816971192 63 638
49 167.0 3897944.4437136776 2367989.322130858 64 639
50 1245.0 3897705.7909368235 2364429.9595928043 65 640
51 2767.5 3897467.0996702085 2360868.7298236648 66 641
52 1593.5 3894839.0059354985 2321572.102016993 67 652
53 116.0 3894599.8665993595 2317988.5031273603 68 653
54 369.0 3894360.69108433 2314403.0433871527 69 654
55 1642.0 3894121.4795703874 2310815.7233115304 70 655
56 1375.5 3893882.2322378242 2307226.54341913 71 656
57 2181.5 3893642.9492672505 2303635.50423209 72 657
58 436.5 3893403.6308395937 2300042.6062760786 73 658
59 3263.0 3893164.2771360977 2296447.850080256 74 659
60 24.0 3892924.8883383237 2292851.236177311 75 660
61 48.5 3892685.4646281498 2289252.7651034547 76 661
62 1031.5 3892446.006187771 2285652.4373984197 77 662
63 351.0 3892206.5131996996 2282050.2536054663 78 663
64 20.0 3891966.9858467653 2278446.214271403 79 664
65 32.0 3891727.4243121156 2274840.319946575 80 665
66 1791.5 3891487.8287792136 2271232.5711848685 81 666
67 1728.0 3901763.581377124 2371294.114041499 83 706
68 10603.5 3901526.989873362 2367736.505246884 84 707
69 1332.0 3901290.3600346185 2364177.0287804604 85 708
70 1056.5 3901053.692034953 2360615.68510901 86 709
71 3012.0 3900816.9860487366 2357052.4747027513 87 710
72 3522.0 3900580.2422506553 2353487.398035339 88 711
73 924.0 3900343.46081571 2349920.4555838755 89 712
74 2964.0 3900106.6419192133 2346351.6478289147 90 713
75 3812.5 3898684.9517047526 2324899.6572722145 91 719
76 637.5 3898447.8755125375 2321317.8061388405 92 720
77 4125.5 3898210.763272579 2317734.09367109 93 721
78 98.5 3897973.615163016 2314148.5203807456 94 722
79 1135.0 3897736.4313623025 2310561.0867831134 95 723
80 56.0 3897499.212049206 2306971.793396981 96 724
81 819.0 3897261.9574028067 2303380.640744636 97 725
82 246.5 3897024.667602503 2299787.6293518962 98 726
83 1125.0 3896787.342828004 2296192.75974807 99 727
84 124.5 3896549.983259335 2292596.0324659976 100 728
85 95.0 3896312.589076835 2288997.4480420398 101 729
86 55.0 3896075.1604611576 2285397.0070160776 102 730
87 91.0 3895837.697593271 2281794.7099315226 103 731
88 66.0 3895600.2006544564 2278190.557335335 104 732
89 30.0 3895362.6698263125 2274584.549778008 105 733
90 282.5 3895125.1052907496 2270976.6878135796 106 734
91 242.5 3905109.7079976844 2367485.8403861676 108 775
92 299.5 3904875.1011439203 2363926.250963225 109 776
93 1366.5 3904640.456458013 2360364.7943610935 110 777
94 1141.0 3904405.7741128476 2356801.4710501386 111 778
95 3658.0 3904171.0542816194 2353236.281504158 112 779
96 17673.0 3903936.2971378337 2349669.226200404 113 780
97 709.5 3903701.5028553084 2346100.3056195723 114 781
98 1851.5 3903466.6716081724 2342529.52024582 115 782
99 50897.0 3902526.9804669744 2328227.7406256474 116 786
100 5379.5 3902291.9670196003 2324647.6386707057 117 787
101 770.5 3902056.9176589213 2321065.6749005155 118 788
102 2861.5 3901821.832561245 2317481.8498235457 119 789
103 839.0 3901586.7119031902 2313896.163951725 120 790
104 2005.5 3901351.5558616878 2310308.6178005086 121 791
105 804.0 3901116.3646139787 2306719.2118888306 122 792
106 2985.5 3900881.138337617 2303127.9467391265 123 793
107 234.5 3900645.8772104676 2299534.8228773633 124 794
108 11746.5 3900410.581410707 2295939.8408329976 125 795
109 1273.0 3900175.2511168243 2292343.001139016 126 796
110 97.5 3899939.8865076187 2288744.3043319304 127 797
111 15.0 3899704.4877622025 2285143.7509517698 128 798
112 3.0 3899233.588580743 2277937.0766500128 130 800
113 1568.0 3898762.5550115756 2270722.982624751 132 802
114 6394.5 3898526.988282693 2267113.1546034818 133 803
115 423.5 3908227.3914664444 2360116.057632657 135 845
116 2859.0 3907994.732808679 2356552.6223883852 136 846
117 1875.0 3907762.0369905937 2352987.320934997 137 847
118 6132.0 3907529.304184201 2349420.1537498864 138 848
119 392.0 3907296.5345618217 2345851.1213138946 139 849
120 1388.5 3907063.728296086 2342280.224111324 140 850
121 4067.5 3906830.8855599314 2338707.462629915 141 851
122 17474.0 3906365.0913696606 2331556.3487989325 142 853
123 24536.0 3906132.1402629633 2327977.9974422036 143 854
124 1944.0 3905899.1533806846 2324397.7837923337 144 855
125 13842.5 3905666.1308973054 2320815.708354431 145 856
126 4098.5 3905433.072987616 2317231.77163711 146 857
127 4279.0 3905199.979826715 2313645.9741524444 147 858
128 2351.5 3904966.851590009 2310058.3164160377 148 859
129 14.0 3904733.6884532147 2306468.7989469697 149 860
130 1092.5 3904500.4905923563 2302877.4222678235 150 861
131 1365.0 3904267.258183769 2299284.1869047107 151 862
132 150.5 3904033.9914040947 2295689.0933872364 152 863
133 21.0 3903800.6904302854 2292092.1422485365 153 864
134 6.0 3902867.1481435522 2277685.772267485 157 868
135 167.0 3902166.641106694 2266861.5164072295 160 871
136 3.0 3901933.072987157 2263249.723915126 161 872
137 1908.5 3912045.0935068876 2363431.1545247007 162 912
138 787.0 3911814.4955873173 2359869.4749759845 163 913
139 578.0 3911583.8606628994 2356305.9287697487 164 914
140 3230.5 3911353.188903847 2352740.516380081 165 915
141 2141.0 3911122.4804806784 2349173.238284519 166 916
142 7175.0 3910891.7355642193 2345604.0949640484 167 917
143 556.0 3910660.9543256005 2342033.086903115 168 918
144 5384.5 3910430.1369362567 2338460.214589603 169 919
145 19658.0 3910199.2835679315 2334885.4785148753 170 920
146 11847.0 3909968.394392673 2331308.8791737696 171 921
147 18807.5 3909737.4695828343 2327730.4170645825 172 922
148 1907.5 3909506.5093110763 2324150.0926890904 173 923
149 5132.5 3909275.513750363 2320567.906552547 174 924
150 983.0 3909044.4830739684 2316983.859163712 175 925
151 337.0 3908813.4174554697 2313397.9510348043 176 926
152 289.5 3908582.317068751 2309810.1826815708 177 927
153 5.0 3908351.182088002 2306220.5546232387 178 928
154 404.5 3908120.0126877204 2302629.067382535 179 929
155 824.0 3907888.8090427076 2299035.7214857186 180 930
156 68.5 3907657.5713280737 2295440.517462539 181 931
157 107.0 3907426.2997192326 2291843.455846277 182 932
158 74.0 3907194.9943919075 2288244.5371737364 183 933
159 5.5 3906963.6555221244 2284643.76198524 184 934
160 33.0 3906732.2832862185 2281041.1308246437 185 935
161 29.0 3906500.87786083 2277436.6442393484 186 936
162 190.5 3915630.3418155196 2363186.836007586 188 980
163 1123.5 3915401.767347722 2359625.0464429064 189 981
164 26.0 3915173.1562021957 2356061.3902460285 190 982
165 1304.0 3914944.5085476628 2352495.8678911817 191 983
166 1048.0 3914715.8245531493 2348928.479856045 192 984
167 1801.0 3914487.104387983 2345359.226621748 193 985
168 697.5 3914258.3482217966 2341788.1086728773 194 986
169 410.0 3914029.5562245226 2338215.12649746 195 987
170 10950.0 3913800.7285664 2334640.280587003 196 988
171 10238.5 3913571.8654179694 2331063.571436486 197 989
172 5967.0 3913342.966950075 2327484.9995443495 198 990
173 4984.5 3913114.0333338636 2323904.5654125116 199 991
174 4431.0 3912885.0647407863 2320322.269546371 200 992
175 4680.5 3912656.0613425975 2316738.1124548293 201 993
176 2318.0 3912427.0233113533 2313152.094650251 202 994
177 1081.0 3912197.950819416 2309564.2166485265 203 995
178 261.0 3911968.84403945 2305974.4789690254 204 996
179 1319.0 3911739.7031444213 2302382.8821346206 205 997
180 263.5 3911510.5283076027 2298789.426671714 206 998
181 129.0 3911281.319702569 2295194.1131102 207 999
182 1706.0 3911052.077503198 2291596.941983505 208 1000
183 1944.0 3910822.8018836724 2287997.913828577 209 1001
184 34.0 3910593.493018477 2284397.0291858837 210 1002
185 1218.0 3910364.1510824026 2280794.2885994255 211 1003
186 301.0 3910134.776250541 2277189.6926167486 212 1004
187 15427.5 3909905.36869829 2273583.2417889396 213 1005
188 272.5 3919215.7562455903 2362944.670693925 214 1048
189 767.0 3918989.2052747635 2359382.7720847977 215 1049
190 539.0 3918762.6179532716 2355819.006868571 216 1050
191 1144.5 3918535.994448345 2352253.3755196156 217 1051
192 1442.0 3918309.3349275156 2348685.878515753 218 1052
193 1962.0 3918082.6395586147 2345116.516338251 219 1053
194 3085.0 3917855.9085097755 2341545.28947184 220 1054
195 9476.0 3917629.1419494296 2337972.1984046875 221 1055
196 2821.5 3917402.340046311 2334397.2436284423 222 1056
197 1578.5 3917175.502969452 2330820.425638225 223 1057
198 5218.5 3916948.6308881887 2327241.744932617 224 1058
199 2211.5 3916721.7239721543 2323661.2020136816 225 1059
200 1217.5 3916494.782391284 2320078.797386957 226 1060
201 778.0 3916267.8063158155 2316494.531561488 227 1061
202 1773.5 3916040.7959162835 2312908.4050497813 228 1062
203 447.0 3915813.7513635266 2309320.418367869 229 1063
204 142.5 3915586.672828683 2305730.572035266 230 1064
205 10.0 3915359.560483191 2302138.866574986 231 1065
206 137.0 3915132.4144987916 2298545.3025135743 232 1066
207 157.0 3914905.2350475243 2294949.880381069 233 1067
208 140.0 3914678.022301731 2291352.6007110393 234 1068
209 12349.0 3914450.7764340555 2287753.464040577 235 1069
210 910.0 3914223.4976174403 2284152.4709102926 236 1070
211 28028.0 3913996.186025129 2280549.621864331 237 1071
212 8306.5 3913768.841830669 2276944.917450384 238 1072
213 650.0 3913541.4652079055 2273338.358219679 239 1073
214 17541.5 3913314.056330987 2269729.9447269877 240 1074
215 535.0 3923025.826564583 2366264.7982634604 241 1115
216 911.5 3922801.3353246255 2362704.6586346645 242 1116
217 488.5 3922576.8078955663 2359142.651952576 243 1117
218 1318.5 3922352.244442849 2355578.7786882664 244 1118
219 48.0 3922127.645132212 2352013.0393162454 245 1119
220 1985.5 3921903.0101296944 2348445.4343144754 246 1120
221 5386.0 3921678.339601631 2344875.9641643637 247 1121
222 13597.0 3921453.633714655 2341304.6293507805 248 1122
