customer weight coord_x coord_y id_grid5km fid
1 126122.70229959779 3859533.886436741 2284448.02565863 0 51.0
2 37437.02091218482 3863163.446493004 2284172.9068417875 1 119.0
3 100487.03559316232 3862907.677509858 2280569.808392873 2 120.0
4 125736.7746810095 3867046.895480905 2287501.326508147 3 186.0
5 10408.110368507898 3866793.1929584406 2283899.9628205085 4 187.0
6 17406.33172637754 3866539.454011817 2280296.7433784697 5 188.0
7 107579.2702817917 3870926.433492796 2290830.30487284 6 253.0
8 76356.88110747826 3870674.79708294 2287230.6773964143 7 254.0
9 146966.1030488439 3870423.1243511913 2283629.193650924 8 255.0
10 125852.57097367413 3870171.41548966 2280025.854182249 9 256.0
11 35586.25849539878 3875301.091492338 2301350.0457820706 10 318.0
12 111666.99744163397 3875051.593843763 2297755.871139296 11 319.0
13 101736.35244460491 3874802.059599447 2294159.8386413683 12 320.0
14 50501.804812810136 3874552.48894896 2290561.9488237323 13 321.0
15 125766.80176233887 3874302.882082206 2286962.20222535 14 322.0
16 97388.61112718478 3878921.241833535 2301084.217408897 15 386.0
17 49613.01234474238 3878673.772879341 2297489.924520336 16 387.0
18 113174.93761568565 3878426.267629824 2293893.7738067163 17 388.0
19 1249.6947860403293 3878178.726273016 2290295.7658036365 18 389.0
20 70530.02566167127 3882541.572418663 2300820.559217449 19 454.0
21 66569.78114687341 3882296.1322065615 2297226.149050722 20 455.0
22 20532.806448056945 3882050.655999492 2293629.881088786 21 456.0
23 150839.51173905528 3881805.143983947 2290031.755867394 22 457.0
24 12905.03339462444 3880331.330397377 2268404.0325373225 23 463.0
25 145497.8776936321 3886162.081767908 2300559.0712622134 24 522.0
26 23305.178677265998 3885918.670345217 2296964.5447849096 25 523.0
27 65217.45177815284 3885675.2232278488 2293368.160542001 26 524.0
28 124753.47918703889 3885431.74060076 2289769.9190693977 27 525.0
29 70663.90276287585 3884944.669558853 2282567.8665963407 28 527.0
30 69336.1834748175 3884701.08151556 2278964.056685349 29 528.0
31 4101.1809954719265 3894602.707662793 2371801.670898788 30 570.0
32 124277.24246678202 3894362.070990788 2368244.2909848327 31 571.0
33 107259.90618504806 3894121.395323096 2364685.043347028 32 572.0
34 77773.63958881357 3891230.3104051687 2321828.5624821084 33 584.0
35 77465.92858622114 3890989.144019346 2318245.0781395203 34 585.0
36 103700.30843514529 3890747.9411452888 2314659.732918144 35 586.0
37 13568.554367036126 3890506.7019644943 2311072.527332985 36 587.0
38 103943.28312811503 3890265.426658783 2307483.4619025327 37 588.0
39 32415.098134203585 3890024.11541029 2303892.5371487755 38 589.0
40 97586.99065704129 3889782.768401477 2300299.7535972293 39 590.0
41 85821.13030582288 3889541.385815119 2296705.111776903 40 591.0
42 98519.14286051395 3889299.967834314 2293108.612220336 41 592.0
43 147751.85061397523 3889058.514642479 2289510.255463587 42 593.0
44 5536.265037918163 3888817.026423352 2285910.0420462377 43 594.0
45 82971.08303407543 3888575.5033609862 2282307.9725113977 44 595.0
46 89908.23954746543 3888092.353444375 2275098.2672794075 45 597.0
47 22679.234524526983 3887850.72695984 2271490.6326861847 46 598.0
48 22195.377191042608 3898183.0578252254 2371546.816971192 47 638.0
49 40672.139054773346 3897944.4437136776 2367989.322130858 48 639.0
50 17148.06172847048 3897705.790936824 2364429.9595928043 49 640.0
51 113669.89365135011 3897467.099670209 2360868.7298236648 50 641.0
52 11835.072194055952 3894839.0059354985 2321572.102016993 51 652.0
53 21127.28283690786 3894599.86659936 2317988.5031273603 52 653.0
54 114380.50276402944 3894360.69108433 2314403.0433871527 53 654.0
55 914.1207586672115 3894121.4795703874 2310815.7233115304 54 655.0
56 84908.98223617388 3893882.232237824 2307226.54341913 55 656.0
57 16426.377432030487 3893642.9492672505 2303635.50423209 56 657.0
58 85088.32719523448 3893403.6308395937 2300042.6062760786 57 658.0
59 84413.03387267847 3893164.2771360977 2296447.850080256 58 659.0
60 143132.63476250827 3892924.888338324 2292851.236177311 59 660.0
61 143637.033666635 3892685.4646281498 2289252.7651034547 60 661.0
62 134991.23817268974 3892446.006187771 2285652.43739842 61 662.0
63 2137.1915702149727 3892206.5131997 2282050.2536054663 62 663.0
64 155722.88085678188 3891966.985846765 2278446.214271403 63 664.0
65 141274.39603379782 3891727.424312116 2274840.319946575 64 665.0
66 3144.485345719268 3891487.8287792136 2271232.5711848685 65 666.0
67 10810.481066225706 3901763.581377124 2371294.114041499 66 706.0
68 61999.303224102565 3901526.989873362 2367736.505246884 67 707.0
69 40552.25132502474 3901290.3600346185 2364177.0287804604 68 708.0
70 5088.945697049333 3901053.692034953 2360615.68510901 69 709.0
71 58170.500355146316 3900816.9860487366 2357052.4747027517 70 710.0
72 130275.95260489495 3900580.2422506553 2353487.398035339 71 711.0
73 116578.90040455005 3900343.46081571 2349920.4555838755 72 712.0
